HA_v,HA_moving_v,H_temp,H_time,PSD
94,6953,75,7,8.6
94,6953,75,7,8.1
94,6953,75,7,8.7
94,6953,75,7,7.8
94,6953,75,7,7.2
94,6953,75,7,7.6
94,6953,75,7,7.6
94,6394,75,7,7.2
91,7663,75,7,8
91,7663,75,7,8.1
91,7663,75,7,7.8
91,7663,75,7,8.3
94,6394,75,7,7.5
94,6394,75,7,7.6
94,6394,75,7,7.4
94,6394,75,7,8.5
94,6394,75,7,8.3
91,6875,75,7,7.3
91,6875,75,7,7.6
91,6875,75,7,7
91,6875,75,7,7.1
97,6708,75,7,7
94,6394,75,7,7.3
91,9551,75,7,7.7
91,6875,75,7,7.6
97,6708,75,7,7.2
97,6708,75,7,7
97,6708,75,7,8.3
97,6708,75,7,8.4
103,14366,75,7,8.3
97,6708,75,7,7.8
97,6708,75,7,7.8
97,6708,75,7,8.8
106.0 ,16309 ,75,7,8.8
106.0 ,16309 ,75,7,8.6
100.0 ,10884 ,75,7,8.7
106.0 ,16309 ,75,7,8.8
106.0 ,16309 ,75,7,8.6
106.0 ,16309 ,75,7,8.7
106.0 ,16309 ,75,7,8.2
106.0 ,16309 ,75,7,8.4
106.0 ,16309 ,75,7,7.7
100.0 ,10884 ,75,7,8.1
100.0 ,10884 ,75,7,9.1
100.0 ,10884 ,75,7,8.1
100.0 ,10884 ,75,7,8.2
96.9 ,8619 ,75,7,8.9
96.9 ,8619 ,75,7,8.7
96.9 ,8619 ,75,7,8.3
100.0 ,10884 ,75,7,7.5
100.0 ,10884 ,75,7,7.6
96.9 ,8619 ,75,7,8.4
96.9 ,8619 ,75,7,7.6
96.9 ,8619 ,75,7,7.6
96.9 ,8619 ,75,7,7
96.9 ,8619 ,75,7,6.7
93.9 ,11537 ,75,7,7.3
93.9 ,11537 ,75,7,7
96.9 ,8619 ,75,7,7.1
93.9 ,11537 ,75,7,7.5
93.9 ,11537 ,75,7,7
93.9 ,11537 ,75,7,7
93.9 ,11537 ,75,7,6.8
96.9 ,10443 ,75,7,6.6
96.9 ,10443 ,75,7,6.9
96.9 ,10443 ,75,7,6.7
96.9 ,10443 ,75,7,7.2
96.9 ,10443 ,75,7,6.7
96.9 ,10443 ,75,7,6.6
96.9 ,10443 ,70,7,7.2
93.9 ,8043 ,65,7,7.6
