배치번호	Cell-S	Cell-H	RWP-1	RWP-2	RWP-3	RWP-4
BSP19001	98	93.4 	90.0 	87.6 	85.1 	
BSP19002	91.9	90.0 	86.7 	84.5 	83.6 	
BSP19003	94.2	92.3 	89.8 	87.5 	85.3 	
BSP19004	96.7	94.9 	92.3 	89.5 	88.5 	
BSP19005	96.7	94.9 	91.2 	90.1 	87.3 	
BSP19006	96.5	93.5 	91.1 	88.5 	86.2 	
BSP19007	97.4	93.3 	90.2 	87.9 	85.6 	
BSP19008	97.4	94.1 	89.9 	88.0 	86.9 	
BSP19009	97.1	92.9 	89.9 	87.2 	84.8 	
BSP19010	96.7	93.0 	90.5 	87.8 	85.5 	
BSP19011	97.9	94.3 	89.4 	87.9 	85.9 	
BSP19012	96.7	92.5 	89.5 	86.7 	84.8 	
BSP19013	96.2	94.7 	90.5 	88.1 	86.4 	
BSP19014	96.5	94.0 	89.4 	86.5 	84.2 	
BSP19015	97.8	93.5 	88.8 	86.4 	84.3 	
BSP19016	95.9	93.7 	90.7 	87.6 	86.2 	
BSP19017	95.6	93.5 	91.3 	88.6 	85.2 	
BSP19018	95.5	93.0 	89.1 	87.7 	85.7 	
BSP19019	96	93.3 	90.9 	88.2 	85.5 	
BSP19020	97	95.2 	93.8 	89.5 	85.9 	
BSP19021	94	91.3 	87.1 	84.5 	83.9 	
BSP19022	96.1	94.4 	90.6 	88.8 	85.1 	
BSP19023	96.2	93.8 	89.5 	87.3 	85.6 	
BSP19024	96.7	92.1 	89.1 	87.0 	85.3 	
BSP19025	95.5	92.6 	90.4 	87.3 	85.5 	
BSP19026	95.4	92.7 	90.0 	86.8 	84.5 	
BSP19027	96.3	93.0 	89.4 	86.3 	85.2 	
BSP19028	96.8	94.6 	88.6 	86.2 	84.5 	
BSP19029	96.6	93.4 	90.5 	87.2 	83.9 	
BSP19030	98.9	93.9 	89.0 	87.1 	86.5 	
BSP19031	95.9	91.8 	88.5 	87.1 	85.5 	
BSP19032	94.1	89.7 	87.7 	86.5 	85.4 	
