사업영역,사업영역명,담당부서,코스트센터,코스트센터명,자산클래스,자산클래스명,자산번호,고정자산명,주요자산번호 텍스트,내용연수(년),        수량,단위,취득일자,담당자,담당부서,실사결과,폐기사유,"정보변경에 대한 
상세사유",기타 특이사항,"태그발행
(Y/N)","미부착 사유
(태그 발행 N에 해당시)",        취득가 전기 ,      취득가 증감 ,        취득가 잔액 ,     당기상각액 ,     당월상각비 ,          장부가액 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140163165,표준분동,WE-GL-101,1,18,EA,2001.03.25,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 119000 , - , 119000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140164866,Validator,LE-GL-100,1,1,EA,2004.12.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 861000 , - , 861000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140164895,노트북(LE-GL-100공정용),HP-LE-GL-100,1,1,EA,2005.02.28,황의영,완제생산팀,1. 이상없음,,,,Y,, 21000 , - , 21000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140165061,Tank(50LGPO),TK-GL-001~0201대 -Line사용,1,21,EA,2005.07.31,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 572000 , - , 572000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166463,Wireless Validator(무선 밸리데이터),LE-Z-001,1,1,EA,2011.06.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 19987000 , - , 19987000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166701,훈증멸균장비(HPV),훈증멸균장비(HPV),1,1,SET,2012.03.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 30805000 , - , 30805000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166914,Particle Counter1,LZ-IL-111,2,2,SET,2013.01.31,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 10640000 , - , 10640000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166915,Air Sampler1,Air Sampler1,2,1,SET,2013.01.31,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 2312000 , - , 2312000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140167308,Large capacity stirrer,Large capacity stirrer(analog),2,1,SET,2013.09.30,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 1656000 , - , 1656000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140168937,무선밸리데이터,LE-Z-003,5,1,EA,2016.03.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 15414000 , - , 15414000 , 1243065 , 248613 , 2237515 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169117,모니터링센서,모니터링센서,5,2,SET,2016.09.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 8739000 , - , 8739000 , 642574 , 128515 , 1927722 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169260,비디오 레코더,비디오 레코더,5,2,SET,2016.12.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 19200000 , - , 19200000 , 1352113 , 270423 , 4867607 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169312,차압변환기,차압변환기,6,1,SET,2017.01.31,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 7500000 , - , 7500000 , 520833 , 104166 , 1979167 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169763,책상,1570*600*800,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 750000 , - , 750000 , 52083 , 10416 , 229167 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169764,책상,1200*650*800,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 550000 , - , 550000 , 38194 , 7638 , 168055 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169765,책상,2100*600*800,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 850000 , - , 850000 , 59028 , 11806 , 259721 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169766,작업대,3500*600*1100,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 950000 , - , 950000 , 65972 , 13194 , 290279 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169767,카트,1500*1000*1000,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 850000 , - , 850000 , 59028 , 11806 , 259721 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169768,트레이선반,880*580*1500,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 950000 , - , 950000 , 65972 , 13194 , 290279 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169769,냉동기 카트,800*600*800,6,5,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 2350000 , - , 2350000 , 163194 , 32638 , 718055 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169770,펌프 카트,800*400*800,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 300000 , - , 300000 , 20833 , 4166 , 91667 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169771,운반카트 제작,950*600*870,6,1,EA,2017.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 750000 , - , 750000 , 52083 , 10416 , 229167 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140173749,지문인식기(capa증설),완제사무실,6,1,EA,2018.05.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 2517848 , - , 2517848 , 174851 , 34971 , 1223954 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140175282,GPS시계,GPS시계,6,13,EA,2018.09.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 21752547 , - , 21752547 , 1510594 , 302119 , 11782628 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1430,기계장치-생과(의약),140177046,광학현미경(이물확인용),광학현미경(이물확인용),6,1,EA,2018.12.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 8100000 , - , 8100000 , 562500 , 112500 , 4725000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1430,기계장치-생과(의약),140179011,HA용기 수동 봉합기,HA용기 수동 봉합기,6,3,EA,2019.05.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 13560000 , - , 13560000 , 941667 , 188334 , 8851666 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1430,기계장치-생과(의약),140186294,GPS 시계,GPS 시계,6,1,SET,2019.07.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 19000000 , - , 19000000 , 1319444 , 263888 , 12930556 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1430,기계장치-생과(의약),140191228,실시간 부유입자 모니터링 시스템 서버,Intel Xeon Processor 3.0/cS-U-003,6,1,EA,2019.12.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 103500000 , - , 103500000 , 7187500 , 1437500 , 77625000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1600,공구기구-일반,160071008,Air Sampler,MAS100,6,1,SET,2017.07.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 7300000 , - , 7300000 , 506944 , 101388 , 2534722 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1600,공구기구-일반,160080366,정척커터,정척커터,6,1,EA,2018.12.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 4295740 , - , 4295740 , 298315 , 59663 , 2505848 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180124373,유선전화기,이광배,1,1,EA,2002.10.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 1000 , - , 1000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180124375,전화기(응답전화기),권영덕,1,1,EA,1999.11.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 1000 , - , 1000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180124381,사물함(sus여갱의실),N/A,1,1,EA,2003.01.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 25000 , - , 25000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180124382,씰링기(무균복용),N/A,1,1,EA,1996.04.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 1000 , - , 1000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180124391,회의테이블(생산1팀),회의테이블(생산1팀),1,1,EA,2003.10.31,황의영,완제생산팀,1. 이상없음,,,,Y,, 3000 , - , 3000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180124394,회의테이블(분임토의실),회의테이블(분임토의실),1,1,EA,1996.12.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 3000 , - , 3000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180124572,회의테이블(분임토의실),N/A,1,1,EA,2000.11.30,황의영,완제생산팀,1. 이상없음,,,,Y,, 1000 , - , 1000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180125300,파티션(1팀사무실),N/A,1,1,EA,2005.03.21,황의영,완제생산팀,1. 이상없음,,,,Y,, 80000 , - , 80000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180125547,Turn Table(이물검사기 배출구),N/A,1,1,EA,2005.12.31,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 45000 , - , 45000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180125548,Conveyor(이물검사기 배출구),N/A,1,1,EA,2005.12.31,황의영,완제생산팀,1. 이상없음,,,,N,무균실내 위치자산으로 부착불가, 45000 , - , 45000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180125562,이동서랍_2단(배건익),이동서랍_2단(배건익),1,1,EA,2006.01.24,황의영,완제생산팀,1. 이상없음,,,,Y,, 1000 , - , 1000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180126030,4단캐비닛(생산1팀),4단캐비닛(생산1팀),1,2,EA,2007.10.16,황의영,완제생산팀,1. 이상없음,,,,Y,, 5000 , - , 5000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180126076,빔프로젝터(생산1팀_LCV-6360K_캐논),빔프로젝터(LCV-6360K_캐논),1,1,EA,2007.11.26,황의영,완제생산팀,1. 이상없음,,,,Y,, 12000 , - , 12000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180126088,4단캐비닛_(생산1팀_적송사무실),4단캐비닛_(생산1팀_적송사무실),1,1,EA,2007.12.24,황의영,완제생산팀,1. 이상없음,,,,Y,, 2000 , - , 2000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180126242,CAMERA(디지털카메라_Cannon_A640)_생산1팀,현미경부착용_릴레이렌즈포함,1,1,EA,2008.05.22,황의영,완제생산팀,1. 이상없음,,,,Y,, 6000 , - , 6000 , - , - , 1000 
7500,의약 익산공장,오송. 경영관리팀,J62311,익.의)완제생산팀,1800,비품,180126313,파티션(생산1팀_현장사무실),파티션(생산1팀_현장사무실),1,1,EA,2008.08.22,황의영,완제생산팀,1. 이상없음,,,,Y,, 47000 , - , 47000 , - , - , 1000 
