RFU22003_충전초	RFU22003_충전중	RFU22003_충전말	RFU22004_충전초	RFU22004_충전중	RFU22004_충전말	RFU22005_충전초	RFU22005_충전중	RFU22005_충전말	RFU22006_충전초	RFU22006_충전중	RFU22006_충전말	RFU22007_충전초	RFU22007_충전중	RFU22007_충전말	RFU22008_충전초	RFU22008_충전중	RFU22008_충전말
97	95	67	109	108	66	107	106	107	104	102	104	106	104	104	110	109	110
100	99	70	109	110	66	107	105	107	104	102	102	106	105	104	110	109	110
103	95	67	109	110	66	107	105	107	104	102	101	105	104	104	110	110	111
102	102	67	109	110	66	107	106	107	104	104	102	105	106	104	109	109	109
99	103	67	108	109	68	107	106	107	104	101	102	106	104	103	110	110	109
96	99	67	108	107	66	107	105	107	104	104	104	106	105	103	110	109	108
95	102	71	109	105	66	107	105	107	104	101	104	106	104	103	110	109	109
97	92	68	110	101	67	107	106	108	104	102	103	106	104	104	110	110	110
95	104	71	108	109	66	107	105	107	104	103	104	106	104	104	110	109	110
99	92	66	109	109	99	107	106	107	104	104	104	106	104	103	110	109	109

