Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2022-07-19,am 11:57:00,81.06,80.31,78.77,81.91,81.86,80.34,81.19,79.06,80.76,79.84,79.37,79.85,81.2,82.62,80.99,81.14,82.17
2022-07-19,am 11:57:10,81.16,80.41,78.93,81.98,82.09,80.49,81.3,79.25,80.83,79.9,79.58,79.97,81.27,82.73,81.1,81.27,82.31
2022-07-19,am 11:57:20,81.29,80.55,79.06,82.18,82.21,80.62,81.38,79.36,80.91,79.98,79.68,80.13,81.37,82.82,81.22,81.41,82.46
2022-07-19,am 11:57:30,81.45,80.8,79.26,82.38,82.32,80.73,81.51,79.61,80.41,80.25,79.89,80.3,81.58,82.96,81.26,81.58,82.59
2022-07-19,am 11:57:40,81.63,80.93,79.45,82.52,82.48,80.88,81.66,79.73,81.14,80.4,80.03,80.47,81.76,83.13,81.38,81.7,82.74
2022-07-19,am 11:57:50,81.8,81.19,79.61,82.68,82.58,81.06,81.75,79.95,81.36,80.51,80.2,80.62,81.92,83.32,81.66,81.85,82.87
2022-07-19,am 11:58:00,81.98,81.48,79.82,82.88,82.77,81.25,81.92,80.2,81.5,80.79,80.3,80.82,82.08,83.55,81.9,82.11,83.08
2022-07-19,am 11:58:10,81.91,81.21,79.79,82.88,82.38,81.19,81.86,79.98,81.42,80.59,80.21,80.66,82.02,83.45,81.73,81.88,83.02
2022-07-19,am 11:58:20,80.78,79.78,78.76,81.8,80.97,79.88,80.82,78.42,80.24,79.12,79.14,79.45,80.91,82.31,80.61,80.49,81.79
2022-07-19,am 11:58:30,79.25,78.17,77.39,80.54,79.69,78.25,79.42,76.58,78.64,77.28,77.61,78.15,79.52,80.74,79.3,78.84,80.29
2022-07-19,am 11:58:40,77.85,76.81,76.08,79.45,78.63,76.65,78.23,74.9,77.15,75.64,76.17,77,78.37,79.39,78.09,77.44,78.87
2022-07-19,am 11:58:50,76.87,75.7,75.02,78.63,77.84,75.4,77.28,73.78,76.04,74.37,75.14,76.14,77.42,78.45,77.12,76.42,77.73
2022-07-19,am 11:59:00,76.16,74.9,74.23,78.05,77.31,74.6,76.56,73.01,75.22,73.54,74.44,75.42,76.82,77.74,76.57,75.73,77.05
2022-07-19,am 11:59:10,75.65,74.44,73.63,77.61,77.04,74.09,75.95,72.53,74.69,73.03,73.96,74.89,76.4,77.21,76.34,75.3,76.58
2022-07-19,am 11:59:20,75.34,74.13,73.24,77.25,76.84,73.79,75.56,72.32,74.41,72.73,73.68,74.54,76.14,76.82,76.26,75.1,76.32
2022-07-19,am 11:59:30,75.2,74.04,73.12,77.04,76.55,73.64,75.35,72.2,74.24,72.63,73.58,74.31,76.03,76.62,76.28,74.98,76.15
2022-07-19,am 11:59:40,75.13,74.08,73.08,76.93,76.33,73.56,75.26,72.22,74.19,72.61,73.6,74.3,76.02,76.58,76.35,75.04,76.21
2022-07-19,am 11:59:50,75.19,74.23,73.09,76.82,76.43,73.57,75.37,72.27,74.21,72.65,73.69,74.31,76.11,76.63,76.42,75.14,76.35
2022-07-19,pm 12:00:00,75.29,74.43,73.15,76.72,76.53,73.6,75.55,72.32,74.23,72.68,73.78,74.35,76.15,76.75,76.49,75.24,76.48
2022-07-19,pm 12:00:10,75.45,74.75,73.27,76.68,76.8,73.65,75.81,72.46,74.25,72.81,73.93,74.53,76.2,76.96,76.56,75.42,76.67
2022-07-19,pm 12:00:20,78.97,80.13,77.32,79.68,83.34,77.96,79.74,76.95,77.78,77.3,77.79,78.47,80,80.4,79.5,80.8,81.08
2022-07-19,pm 12:00:30,83.38,85.02,82.31,83.16,87.73,84.35,85.3,82.82,83.58,82.26,83.53,81.15,85.41,85.06,85.67,85.97,86.49
2022-07-19,pm 12:00:40,86.49,88.54,86.17,86.32,89.6,87.95,88.87,86.44,87.51,86,86.72,85.49,88.8,88.14,88.58,89.49,89.73
2022-07-19,pm 12:00:50,90,91.9,89.56,89.11,91.8,91.06,91.22,90.46,90.81,90.31,89.4,89.59,91.2,90.73,91.37,92.49,92.04
2022-07-19,pm 12:01:00,93.17,94.83,92.88,92.3,93.94,93.93,93.74,93.55,94,93.35,92.38,93.22,93.63,93.27,94.02,95.14,94.46
2022-07-19,pm 12:01:10,93.79,95.68,93.85,93.42,94.81,94.75,94.56,93.77,94.87,93.72,93.59,93.68,94.46,94.48,94.76,95.95,95.49
2022-07-19,pm 12:01:20,93.11,94.56,92.14,92.38,93.74,93.32,92.93,92.81,94.24,92.14,93.23,90.99,93.41,93.97,93.91,94.96,94.8
2022-07-19,pm 12:01:30,91.48,92.79,89.57,90.35,91.78,90.49,90.44,91.1,92.45,90.09,91.8,88.4,91.36,92.48,92.16,92.42,93.13
2022-07-19,pm 12:01:40,89.44,91,87.37,88.48,89.69,87.95,88.15,89.57,90.33,88.54,90.18,86.6,89.1,90.98,90.51,90.64,91.49
2022-07-19,pm 12:01:50,87.66,89.64,85.76,87.39,88.33,86.25,86.27,88.09,88.22,87.37,88.64,85.16,87.31,89.75,89.04,88.64,90.15
2022-07-19,pm 12:02:00,86.31,88.65,84.45,86.55,87.59,85.01,84.9,86.94,86.79,85.5,87.4,83.79,86.21,88.9,87.69,87.79,88
2022-07-19,pm 12:02:10,85.09,87.68,83.32,85.41,86.96,84.18,83.68,85.9,85.68,84.09,86.41,82.65,85.41,88.15,86.32,86.81,87.28
2022-07-19,pm 12:02:20,84.3,86.8,82.2,84.45,86.64,83.75,82.6,85.05,84.73,82.89,85.74,81.68,84.75,87.44,86.01,85.71,86.67
2022-07-19,pm 12:02:30,83.98,86.18,81.25,84.11,86.32,83.56,81.63,84.78,84.12,81.98,85.17,80.8,84.67,86.73,85.85,84.5,86.39
2022-07-19,pm 12:02:40,83.7,85.65,80.32,83.98,85.93,83.62,80.51,84.47,83.75,81.16,84.7,79.78,84.53,86.16,85.65,82.35,86.09
2022-07-19,pm 12:02:50,83.63,85.11,79.35,83.87,85.55,83.71,79.53,84.21,83.18,80.6,84.34,78.82,84.33,85.56,85.36,80.79,85.77
2022-07-19,pm 12:03:00,83.6,84.67,78.64,83.74,85.17,83.72,78.81,84.03,82.36,81.01,83.96,78.19,84.15,84.98,85.1,80.36,85.57
2022-07-19,pm 12:03:10,83.57,84.41,78.11,83.67,85,83.69,78.29,83.87,81.97,81.74,83.6,77.85,84.03,84.35,84.87,80.75,85.44
2022-07-19,pm 12:03:20,83.49,84.12,77.7,83.53,84.88,83.59,77.95,83.74,81.74,82.13,83.32,77.67,83.81,84.1,84.66,81.68,85.27
