기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12
2022-07-19	pm 1:59:00	85.92	85.88	85.67	86.26	86.7	86.5	87.97	85.59	86.42	86.09	85.5	85.9
2022-07-19	pm 1:59:10	85.97	85.97	85.79	86.36	86.78	86.58	86.67	85.71	86.53	86.2	85.59	85.98
2022-07-19	pm 1:59:20	86.07	86.16	85.89	86.47	86.88	86.7	86.15	85.83	86.65	86.37	85.72	86.11
2022-07-19	pm 1:59:30	86.21	86.29	85.99	86.61	87	86.83	85.28	85.99	86.77	86.52	85.9	86.2
2022-07-19	pm 1:59:40	86.37	86.44	86.12	86.74	87.1	86.99	85.8	86.16	86.94	86.67	86.04	86.31
2022-07-19	pm 1:59:50	86.54	86.69	86.29	86.91	87.26	87.15	86.5	86.34	87.14	86.8	86.16	86.44
2022-07-19	pm 2:00:00	86.69	86.86	86.5	87.12	87.45	87.32	86.93	86.54	87.34	86.95	86.26	86.66
2022-07-19	pm 2:00:10	86.84	87	86.68	87.32	87.65	87.52	86.76	86.67	87.53	87.18	86.22	86.88
2022-07-19	pm 2:00:20	87.08	87.26	86.89	87.53	87.88	87.73	86.81	86.9	87.75	87.45	86.36	87.07
2022-07-19	pm 2:00:30	87.12	87.38	86.96	87.69	87.68	87.84	85.88	86.97	87.92	87.42	86.46	86.96
2022-07-19	pm 2:00:40	86.23	86.32	86.25	87.01	86.39	86.95	86.31	85.84	87.13	86.31	85.58	85.96
2022-07-19	pm 2:00:50	84.77	84.77	85.11	85.93	85	85.47	84.43	84.16	85.65	84.6	84.06	84.77
2022-07-19	pm 2:01:00	83.5	83.31	83.98	84.92	83.93	83.9	83.98	82.58	84.08	83.04	82.5	83.58
2022-07-19	pm 2:01:10	82.44	82.05	83.05	84.14	83.36	82.73	83.24	81.32	82.72	81.76	81.36	82.71
2022-07-19	pm 2:01:20	81.75	81.33	82.44	83.62	83	81.92	83.74	80.47	81.78	80.89	80.56	82.21
2022-07-19	pm 2:01:30	81.28	80.94	82.01	83.27	82.78	81.39	83.84	79.92	81.29	80.29	80.05	81.8
2022-07-19	pm 2:01:40	81	80.72	81.72	83.08	82.54	81.11	87.51	79.66	81.09	80	79.75	81.6
2022-07-19	pm 2:01:50	80.73	80.43	81.47	82.97	82.43	81.02	84.29	79.59	80.93	79.88	79.61	81.37
2022-07-19	pm 2:02:00	80.57	80.18	81.4	82.81	82.42	80.98	81.26	79.59	80.87	79.88	79.56	81.28
2022-07-19	pm 2:02:10	80.58	80.13	81.3	82.61	82.4	81.05	84.14	79.66	80.9	79.98	79.58	81.21
2022-07-19	pm 2:02:20	80.72	80.19	81.29	82.5	82.38	81.15	76.77	79.77	80.99	80.13	79.69	81.19
2022-07-19	pm 2:02:30	82.53	82.4	82.84	82.52	83.87	82.1	84.3	81.55	81.98	82.48	81.35	83.8
2022-07-19	pm 2:02:40	88.04	86.35	81.38	86.32	85.25	87.04	90.49	88.14	87.58	88.98	87.43	87.1
2022-07-19	pm 2:02:50	93.2	90.48	83.83	90.47	91.76	89.11	92.42	93.33	90.88	93.94	92.24	89
2022-07-19	pm 2:03:00	94.16	93.58	89.4	93.52	94.79	90.68	92.89	95.57	93.61	94.37	94.7	91.05
2022-07-19	pm 2:03:10	94.38	95.44	91.29	94.84	95.44	92.82	94.3	96.03	96.18	93.9	95.84	91.46
2022-07-19	pm 2:03:20	93.08	94.26	89.03	94.16	93.7	90.44	94.32	91.03	95.35	92.07	94.94	88.59
2022-07-19	pm 2:03:30	91.53	92.45	87.31	92.59	92.08	88.09	96.26	88.12	92.8	90.15	93.19	86.88
2022-07-19	pm 2:03:40	90.05	90.9	86.09	91.17	90.78	86.45	92.23	86.41	89.04	89.22	91.64	85.64
2022-07-19	pm 2:03:50	88.53	89.77	85.1	89.9	90	85.19	93.31	85.31	86.38	87.9	90.28	84.85
2022-07-19	pm 2:04:00	86.93	88.84	84.24	89.06	89.31	84.25	85.68	84.62	84.71	86.58	88.99	84.06
2022-07-19	pm 2:04:10	85.65	88.35	83.47	88.43	88.79	83.42	87.23	83.51	83.72	85.83	88.15	83.14
2022-07-19	pm 2:04:20	84.06	87.87	82.65	87.64	88.28	82.6	81.18	82.69	82.78	84.67	87.57	82.39
2022-07-19	pm 2:04:30	83.2	87.56	82.08	87.88	87.76	82.07	77.12	82.26	82.24	83.75	87.01	81.98
2022-07-19	pm 2:04:40	82.56	87.3	81.73	87.97	86.48	81.74	80.88	81.9	81.86	83.03	86.72	81.65
