기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140				
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거				
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739				
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel				
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1				
Date	Time	1	2	3	4	5	6	7	8				
2022-07-19	pm 2:55:00	63.98	65.64	64.18	64.75	68.29	63.12	60.52	60.31				
2022-07-19	pm 2:55:10	63.91	65.69	64.34	65.12	67.86	63.53	63.54	60.6				
2022-07-19	pm 2:55:20	63.08	64.69	63.44	64.55	67.03	62.58	65.54	59.8				
2022-07-19	pm 2:55:30	62.19	63.62	62.37	63.73	66.18	61.49	60.24	58.79				
2022-07-19	pm 2:55:40	61.5	62.8	61.47	63.07	65.48	60.46	62.43	58.02				
2022-07-19	pm 2:55:50	60.94	62.17	60.87	62.64	64.94	59.73	58.61	57.48				
2022-07-19	pm 2:56:00	60.52	61.77	60.43	62.37	64.51	59.19	63.47	57.1				
2022-07-19	pm 2:56:10	60.22	61.47	60.21	62.17	64.31	58.81	62.74	56.82				
2022-07-19	pm 2:56:20	60.14	61.32	59.97	61.92	64.31	58.54	57.04	56.69				
2022-07-19	pm 2:56:30	60.08	61.31	59.89	61.86	64.26	58.39	57.29	56.62				
2022-07-19	pm 2:56:40	60.12	61.39	59.85	61.89	64.38	58.32	62.98	56.63				
2022-07-19	pm 2:56:50	60.25	61.52	59.88	62.01	64.43	58.3	62.6	56.71				
2022-07-19	pm 2:57:00	60.94	61.84	60.16	62.23	65.88	58.38	59.64	56.88				
2022-07-19	pm 2:57:10	65.65	68.12	65.21	65.7	72.84	62.73	62.3	62.54				
2022-07-19	pm 2:57:20	73.25	74.65	72.6	71.11	77.09	70.99	71	71.35				
2022-07-19	pm 2:57:30	79.47	80.62	78.77	76.5	82.85	78.09	79.59	78.68				
2022-07-19	pm 2:57:40	84.1	85.11	83.57	81.16	87.01	83.1	83.47	83.84				
