Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2022-07-19,pm 4:00:00,37.58,43.27,39,41.48,45.53,38.73,41.57,37.99,41.35,37.06,41.33,39.73,41.04,42.64,41.38,42.14,43.05,38.41,41.57,43.27
2022-07-19,pm 4:00:10,37.61,43.05,39.06,41.52,45.46,38.62,40.03,37.91,41.24,37.07,41.18,39.74,41.14,42.38,41.35,41.96,42.97,38.43,40.03,43.05
2022-07-19,pm 4:00:20,37.55,42.69,39.2,41.62,45.25,38.76,39.87,38.01,41.09,36.93,41.04,39.82,41.29,42.17,41.52,41.82,42.86,38.46,39.87,42.69
2022-07-19,pm 4:00:30,37.53,42.57,39.22,41.67,45.32,38.64,40.51,37.92,40.94,36.92,40.89,39.88,41.22,42.12,41.47,41.74,42.77,38.5,40.51,42.57
2022-07-19,pm 4:00:40,37.44,42.47,39.14,41.63,45.42,38.61,40.57,37.97,40.92,36.92,40.75,39.77,41.21,42.07,41.41,41.77,42.75,38.42,40.57,42.47
2022-07-19,pm 4:00:50,37.25,42.46,38.99,41.49,45.41,38.57,37.43,38.04,41.05,36.69,40.82,39.54,41.09,42.12,41.31,41.79,42.71,38.19,37.43,42.46
2022-07-19,pm 4:01:00,37.19,42.48,38.85,41.31,45.22,38.49,34.94,37.93,40.98,36.61,40.61,39.36,40.98,42.09,41.17,41.71,42.62,38.03,34.94,42.48
2022-07-19,pm 4:01:10,37.32,42.33,38.9,41.27,45.13,38.54,36.67,37.95,40.87,36.7,40.4,39.41,40.92,42.01,41.18,41.7,42.56,38.07,36.67,42.33
2022-07-19,pm 4:01:20,37.22,42.15,38.79,41.22,44.94,38.4,45.44,37.71,40.81,36.56,40.34,39.3,40.84,41.85,41.07,41.62,42.57,38.01,45.44,42.15
2022-07-19,pm 4:01:30,37.27,42.23,38.63,41.06,45.06,38.31,46.1,37.67,40.8,36.6,40.46,39.22,40.64,41.98,40.98,41.56,42.43,38.02,46.1,42.23
