Date,Time,1,2,3,4,5,6,7,8,9,10
2022-07-20,am 9:27:00,44.51,43.55,43.18,43.7,43.21,43.5,40.09,43.46,43.57,43.31
2022-07-20,am 9:27:10,44.64,43.59,43.23,43.74,43.3,43.54,42.14,43.51,43.62,43.37
2022-07-20,am 9:27:20,44.81,43.65,43.3,43.8,43.39,43.59,41.74,43.58,43.67,43.44
2022-07-20,am 9:27:30,45.07,43.71,43.39,43.88,43.49,43.66,41.77,43.67,43.72,43.53
2022-07-20,am 9:27:40,45.41,43.81,43.48,43.98,43.59,43.75,50.13,43.78,43.81,43.67
2022-07-20,am 9:27:50,45.86,43.93,43.59,44.07,43.74,43.88,41.27,43.9,43.9,43.85
2022-07-20,am 9:28:00,46.35,44.05,43.7,44.17,43.9,44.02,47.16,44.05,44.02,44.01
2022-07-20,am 9:28:10,46.91,44.17,43.85,44.32,44.05,44.14,39.94,44.2,44.13,44.17
2022-07-20,am 9:28:20,47.44,44.31,44.01,44.48,44.22,44.26,46.05,44.35,44.27,44.34
2022-07-20,am 9:28:30,47.97,44.43,44.14,44.65,44.36,44.4,42.63,44.51,44.43,44.49
2022-07-20,am 9:28:40,48.46,44.59,44.28,44.83,44.56,44.54,43.85,44.68,44.6,44.64
2022-07-20,am 9:28:50,48.99,44.74,44.45,45.02,44.76,44.72,49.41,44.86,44.79,44.82
2022-07-20,am 9:29:00,49.48,44.96,44.63,45.28,44.97,44.93,40.2,45.05,44.97,45.04
2022-07-20,am 9:29:10,49.97,45.2,44.84,45.6,45.2,45.16,47.07,45.29,45.19,45.32
2022-07-20,am 9:29:20,50.46,45.49,45.17,45.96,45.59,45.45,45.49,45.56,45.46,45.78
2022-07-20,am 9:29:30,50.95,45.86,45.64,46.39,46.07,45.86,47.83,45.97,45.79,46.35
2022-07-20,am 9:29:40,51.39,46.25,46.13,46.81,46.6,46.38,49.34,46.52,46.14,46.9
2022-07-20,am 9:29:50,51.81,46.59,46.6,47.23,47.11,46.82,43.95,47.11,46.49,47.4
2022-07-20,am 9:30:00,52.16,46.93,47.08,47.65,47.69,47.28,52.85,47.71,46.88,47.88
2022-07-20,am 9:30:10,51.6,47.31,47.56,48.14,48.2,47.84,48.62,48.25,47.17,48.32
