기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648	P86740	P86741	P86637	P86650	P86727
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
																		
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
2022-07-20	am 10:40:00	97.41	96.84	96.26	96.32	96.82	96.73	99.29	97.77	96.88	95.69	97.11	96.86	96.48	96.46	96.62	96.7	96.6
2022-07-20	am 10:40:10	97.47	96.9	96.25	96.34	96.88	96.78	95.12	97.79	96.92	95.72	97.13	96.88	96.53	96.48	96.68	96.76	96.65
2022-07-20	am 10:40:20	97.48	96.93	96.28	96.39	96.89	96.85	96.48	97.84	96.96	95.71	97.16	96.91	96.59	96.51	96.73	96.8	96.73
2022-07-20	am 10:40:30	97.5	96.96	96.25	96.43	96.94	96.88	97.51	97.87	96.97	95.71	97.21	96.93	96.61	96.54	96.76	96.83	96.76
2022-07-20	am 10:40:40	97.49	97.01	96.23	96.45	96.99	96.88	98.39	97.9	97.01	95.71	97.27	96.95	96.66	96.55	96.82	96.85	96.81
2022-07-20	am 10:40:50	97.51	97.02	96.26	96.48	96.97	96.92	94.65	97.95	97.07	95.78	97.33	96.97	96.69	96.58	96.87	96.84	96.86
2022-07-20	am 10:41:00	97.55	97.08	96.35	96.49	97	96.98	97.87	98	97.08	95.79	97.36	97.02	96.7	96.62	96.89	96.86	96.88
