Date,Time,1,2,3,4,5,6,7,8,9,10,11
2022-07-20,am 11:37:20,50.74,56.37,50.72,49.31,46.87,53.52,57.11,52.31,56.09,47.15,47.29
2022-07-20,am 11:37:30,54.53,55.98,50.53,48.84,46.77,53.11,54.97,51.81,55.88,46.8,47.31
2022-07-20,am 11:37:40,58.21,55.81,50.36,48.61,46.57,53.05,51.97,51.92,55.78,46.84,47.52
2022-07-20,am 11:37:50,61.46,55.76,50.32,48.47,46.57,52.98,49.61,51.72,55.64,46.79,47.23
2022-07-20,am 11:38:00,64.13,55.46,50.18,48.4,46.66,52.74,53.51,51.46,55.47,46.89,46.9
2022-07-20,am 11:38:10,66.17,55.16,50.21,48.5,46.44,52.48,51.16,51.21,55.41,46.98,46.88
2022-07-20,am 11:38:20,67.96,55.29,49.95,48.48,45.85,52.56,52.18,51.61,55.45,46.6,47.04
2022-07-20,am 11:38:30,69.37,55.3,49.4,47.93,45.68,52.63,54.06,51.56,55.41,46.2,46.74
2022-07-20,am 11:38:40,70.34,55.49,49.37,47.59,45.98,52.65,54.66,51.51,55.29,45.99,46.41
2022-07-20,am 11:38:50,71.24,55.02,49.17,47.47,45.62,52.42,52.4,51.13,54.98,45.74,46.09
2022-07-20,am 11:39:00,72.08,55.18,50.05,47.47,48.33,52.53,50.31,51.52,55.03,47.67,48.14
2022-07-20,am 11:39:10,72.66,57.94,53.25,50.01,52.23,55.14,55.78,54.24,57.35,51.63,52.24
2022-07-20,am 11:39:20,73.41,61.15,56.89,53.27,56.04,58.61,60.73,58.22,60.5,55.51,56.24
2022-07-20,am 11:39:30,73.65,64.07,60.3,56.3,59.45,61.9,63.89,61.63,63.64,58.88,59.57
2022-07-20,am 11:39:40,72.7,66.66,63.08,59.44,62.17,64.71,65.74,64.66,66.29,61.74,62.15
2022-07-20,am 11:39:50,71.57,68.71,65.33,61.79,64.62,67.19,64.75,67.13,68.27,64.03,64.26
2022-07-20,am 11:40:00,70.6,70.58,67.14,63.97,66.57,69.2,68.21,69.16,69.82,65.96,66.02
2022-07-20,am 11:40:10,70,72.18,68.55,65.61,68,70.73,72.64,70.66,71.26,67.28,67.38
2022-07-20,am 11:40:20,69.68,73.59,69.86,66.95,69.15,71.8,71.99,71.74,72.64,68.46,68.53
2022-07-20,am 11:40:30,69.55,74.79,70.85,68.01,70.17,72.8,76.76,72.84,73.77,69.48,69.36
2022-07-20,am 11:40:40,69.51,75.75,71.67,68.89,71.02,73.54,74.07,73.63,74.8,70.25,69.96
2022-07-20,am 11:40:50,69.63,76.32,72.45,69.78,71.85,74.28,72.81,74.4,75.51,70.91,70.72
2022-07-20,am 11:41:00,69.79,77.08,73.03,70.55,72.57,74.91,76.18,75.05,76.11,71.54,71.38
2022-07-20,am 11:41:10,70.01,77.45,73.24,71.21,72.27,75.42,76.46,75.52,76.45,71.54,71.51
