기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648	P86740	P86741	P86637	P86650	P86727
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
																		
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
날짜	시간	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)
2022-07-19	am 11:57:00	81.06	80.31	78.77	81.91	81.86	80.34	81.19	79.06	80.76	79.84	79.37	79.85	81.2	82.62	80.99	81.14	82.17
2022-07-19	am 11:57:10	81.16	80.41	78.93	81.98	82.09	80.49	81.3	79.25	80.83	79.9	79.58	79.97	81.27	82.73	81.1	81.27	82.31
2022-07-19	am 11:57:20	81.29	80.55	79.06	82.18	82.21	80.62	81.38	79.36	80.91	79.98	79.68	80.13	81.37	82.82	81.22	81.41	82.46
2022-07-19	am 11:57:30	81.45	80.8	79.26	82.38	82.32	80.73	81.51	79.61	80.41	80.25	79.89	80.3	81.58	82.96	81.26	81.58	82.59
2022-07-19	am 11:57:40	81.63	80.93	79.45	82.52	82.48	80.88	81.66	79.73	81.14	80.4	80.03	80.47	81.76	83.13	81.38	81.7	82.74
2022-07-19	am 11:57:50	81.8	81.19	79.61	82.68	82.58	81.06	81.75	79.95	81.36	80.51	80.2	80.62	81.92	83.32	81.66	81.85	82.87
