	광역시도	시도	20-39세여자	20-39세합계	65세이상합계	인구수남자	인구수여자	인구수합계	소멸비율	소멸위기지역	ID	x	y	여성비	2030여성비
0	강원도	강릉시	23098	49384	37679	106231	107615	213846	1.226041031	0	강릉	11	3	0.323597355	-3.227766078
1	강원도	고성군	2529	7023	7151	15899	14215	30114	0.707313662	1	고성(강원)	10	0	-2.796041708	-13.98974797
2	강원도	동해시	9753	21264	15124	47166	46131	93297	1.289738165	0	동해	11	4	-0.554680215	-4.133747178
3	강원도	삼척시	7115	15823	14610	35253	34346	69599	0.973990418	1	삼척	11	5	-0.651589822	-5.03381154
4	강원도	속초시	8752	18708	12752	40288	41505	81793	1.372647428	0	속초	10	1	0.743951194	-3.217874706
5	강원도	양구군	2481	6849	4108	12918	11092	24010	1.20788705	0	양구	9	0	-3.802582257	-13.77573368
6	강원도	양양군	2171	5087	6981	13838	13380	27218	0.621973929	1	양양	10	2	-0.841354986	-7.322586986
7	강원도	영월군	3134	7159	9915	20652	19421	40073	0.632173475	1	영월	10	7	-1.535946897	-6.222936164
8	강원도	원주시	43164	88919	42246	167854	170125	337979	2.043459736	0	원주	10	5	0.335967619	-1.45694396
9	강원도	인제군	3449	8961	5602	17677	15043	32720	1.231345948	0	인제	8	1	-4.025061125	-11.51099208
10	강원도	정선군	3297	7435	9008	19975	18743	38718	0.732015986	1	정선	10	3	-1.59099127	-5.655682582
11	강원도	철원군	4714	12632	9112	25429	22584	48013	1.034679543	0	철원	7	0	-2.962739258	-12.68207726
12	강원도	춘천시	35422	72595	41699	138251	142456	280707	1.698937624	0	춘천	9	1	0.749001628	-1.206005923
13	강원도	태백시	4643	9976	9266	23899	23171	47070	1.002158429	0	태백	10	4	-0.773316337	-3.45829992
14	강원도	평창군	3585	7962	9837	22126	21192	43318	0.728880756	1	평창	10	6	-1.07807378	-4.973624717
15	강원도	홍천군	6258	14158	14933	35738	34338	70076	0.838143709	1	홍천	8	2	-0.998915463	-5.798841644
16	강원도	화천군	2643	8040	4806	14554	11710	26264	1.099875156	0	화천	8	0	-5.414255254	-17.12686567
17	강원도	횡성군	3789	8301	11323	23398	22593	45991	0.669257264	1	횡성	9	2	-0.875171229	-4.354897
18	경기도	가평군	5771	12795	13569	31981	30467	62448	0.850615373	1	가평	7	3	-1.212208558	-4.896443923
19	경기도	과천시	8315	16897	7735	31013	32765	63778	2.149967679	0	과천	8	7	1.373514378	-0.790081079
20	경기도	광명시	47807	97316	36549	168241	171243	339484	2.616049687	0	광명	4	4	0.442141603	-0.874470796
21	경기도	광주시	45073	94763	35203	168345	159378	327723	2.560747664	0	광주	9	7	-1.368076089	-2.436077372
22	경기도	구리시	26941	54673	20623	96397	97366	193763	2.61271396	0	구리	8	3	0.250047739	-0.723391802
23	경기도	군포시	41049	84232	28530	141647	143243	284890	2.877602524	0	군포	5	9	0.280108112	-1.266739481
24	경기도	권선구	56279	116570	30924	180766	177627	358393	3.639826672	0	수원 권선	5	10	-0.43792708	-1.720854422
25	경기도	기흥구	58658	115524	42832	206316	210847	417163	2.738980202	0	용인 기흥	8	9	0.543073091	0.775596413
26	경기도	김포시	49660	99581	40505	182597	180846	363443	2.452042958	0	김포	4	3	-0.240890594	-0.131049096
27	경기도	남양주시	86835	174251	75986	330749	331405	662154	2.285552602	0	남양주	7	2	0.049535304	-0.166713534
28	경기도	단원구	43619	93239	24530	161915	152087	314002	3.556379943	0	안산 단원	3	8	-1.564958185	-3.218073982
29	경기도	덕양구	61556	124693	54412	221496	224737	446233	2.262589135	0	고양 덕양	3	2	0.363151089	-0.633956998
30	경기도	동두천시	11634	24201	16172	48970	49307	98277	1.438783082	0	동두천	4	1	0.171454155	-1.927606297
31	경기도	동안구	49730	100976	31371	170166	174895	345061	3.170444041	0	안양 동안	3	5	0.68524116	-0.750673427
32	경기도	만안구	36093	75611	30304	126793	125560	252353	2.382061774	0	안양 만안	3	4	-0.244300642	-2.264882094
33	경기도	분당구	77174	149581	50863	244502	259328	503830	3.034583096	0	성남 분당	7	8	1.471329615	1.59345104
34	경기도	상록구	53671	113973	32620	191479	184378	375857	3.290680564	0	안산 상록	3	7	-0.94464118	-2.909022312
35	경기도	소사구	41744.33333	86095.33333	28739.33333	141700.3333	142093	283793.3333	2.905031432	0	부천 소사	2	4	0.069181799	-1.513825759
36	경기도	수정구	33210	70947	30078	118343	114498	232841	2.208258528	0	성남 수정	8	8	-0.825670737	-3.190409742
37	경기도	수지구	47997	92598	38388	170217	177616	347833	2.500625195	0	용인 수지	9	8	1.063585111	1.83373291
38	경기도	시흥시	53502	116371	31650	211392	191496	402888	3.380853081	0	시흥	3	6	-2.469172574	-4.024628129
39	경기도	안성시	22206	47656	26606	93389	89507	182896	1.669247538	0	안성	4	10	-1.061258857	-3.403558838
40	경기도	양주시	24392	50529	26708	104235	101278	205513	1.826568818	0	양주	3	1	-0.719419209	-1.726731184
41	경기도	양평군	10611	22599	23614	56285	55082	111367	0.898704159	1	양평	9	4	-0.540106136	-3.046594982
42	경기도	여주시	12220	25849	19778	56445	55118	111563	1.235716453	0	여주	9	5	-0.594731228	-2.725443924
43	경기도	연천군	4411	10946	10162	24090	21817	45907	0.868136194	1	연천	5	1	-2.475657307	-9.70217431
44	경기도	영통구	56425	115702	19142	171452	169202	340654	5.895413227	0	수원 영통	7	9	-0.330247113	-1.232476535
45	경기도	오산시	31887	67261	16015	107056	101600	208656	3.982141742	0	오산	3	10	-1.307415076	-2.592141062
46	경기도	오정구	41744.33333	86095.33333	28739.33333	141700.3333	142093	283793.3333	2.905031432	0	부천 오정	2	6	0.069181799	-1.513825759
47	경기도	원미구	41744.33333	86095.33333	28739.33333	141700.3333	142093	283793.3333	2.905031432	0	부천 원미	2	5	0.069181799	-1.513825759
48	경기도	의왕시	21551	44876	16912	78304	78459	156763	2.548604541	0	의왕	6	9	0.049437686	-1.976557625
49	경기도	의정부시	58697	119573	55396	216400	222057	438457	2.11917828	0	의정부	7	1	0.645103169	-0.911158874
50	경기도	이천시	28026	58577	25380	107044	103315	210359	2.208510638	0	이천	9	6	-0.88634192	-2.15528279
