자산번호,세부자산코드,담당부서,자산명,CCTR코드,CCTR명,사업영역 코드,사업영역명,자산클래스코드,자산클래스명,자산정보텍스트,상세위치,외주처(협력업체)코드,외주처(협력업체)명,외주처(협력업체)비고,제각/매각/폐기,실사관리여부,실사관리여부,매각/폐기에 의한 실사관리 제외,실사관리 제외 담당자,실사관리제외 사유,TAG발행일,최근실사일,TAG발행수,TAG발행 초기화수,자산상태코드,자산상태,자산단위,취득일,취득가,장부가,자본화일,당월상가액,비고,등록자,등록일시,최종수정자,최종수정일시,사업장코드,자산사용여부,TAG발행여부,사진번호,미완료사유코드,미완료사유,최근실사자,보세구분,실사용자
140162918,140162918-0001,HR팀,가로등(퀴놀론) (HR팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,2,1,ST4001,정상(사용중),EA,20010731,76000,1000,20010731,0,,SYSTEM,2021-05-27 14:15:34.313,adminIksan,2021-10-01 10:32:19.773,WP_IKSAN,Y,,,N,,,,
140162919,140162919-0001,환경안전팀,소방방재 시스템 (환경안전팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,소방방재 시스템,,,,,,Y,발행,,,,,,2,1,ST4001,정상(사용중),EA,20030830,626500000,1000,20030830,0,,SYSTEM,2021-05-27 14:15:34.32,adminIksan,2021-10-01 10:36:56.17,WP_IKSAN,Y,,,N,,,,
140162920,140162920-0001,공무팀,PH METER(우수 방류구) (공무팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,PH METER(우수 방류구),,,,,,Y,발행,,,,,,2,1,ST4001,정상(사용중),EA,20030930,51500,500,20030930,0,,SYSTEM,2021-05-27 14:15:34.327,adminIksan,2021-10-01 10:33:05.233,WP_IKSAN,Y,,,N,,,,
140162920,140162920-0002,공무팀,PH METER(우수 방류구) (공무팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,PH METER(우수 방류구),,,,,,Y,발행,,,,,,2,1,ST4001,정상(사용중),EA,20030930,51500,500,20030930,0,,SYSTEM,2021-05-27 14:15:34.327,adminIksan,2021-10-01 10:33:05.233,WP_IKSAN,Y,,,N,,,,
140162921,140162921-0001,공무팀,전기설비(수전실) (공무팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,Main변압기,,,,,,Y,발행,,,,,,2,1,ST4001,정상(사용중),EA,20030909,148650000,1000,20030909,0,,SYSTEM,2021-05-27 14:15:34.33,adminIksan,2021-10-01 10:38:47.36,WP_IKSAN,Y,,,N,,,,
140162922,140162922-0001,공무팀,전기설비(수전실),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20030909,102380000,1000,20030909,0,,SYSTEM,2021-05-27 14:15:34.337,adminOsong,2021-09-29 10:51:54.507,WP_IKSAN,Y,,,N,,,,
140162923,140162923-0001,공무팀,수전실 특고반(22.9KV) (공무팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20031219,222000,1000,20031219,0,,SYSTEM,2021-05-27 14:15:34.34,adminOsong,2021-09-29 10:53:02.367,WP_IKSAN,Y,,,N,,,,
140162924,140162924-0001,공무팀,전기설비(경비동) (공무팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,전기설비(경비동),,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20031127,1170000,1000,20031127,0,,SYSTEM,2021-05-27 14:15:34.347,adminOsong,2021-09-29 10:54:38.553,WP_IKSAN,Y,,,N,,,,
140162925,140162925-0001,공무팀,정화조 판넬(경비동) (공무팀),J62001,익.공)생명과학공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,정화조 판넬(경비동),,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20031127,11000,1000,20031127,0,,SYSTEM,2021-05-27 14:15:34.35,adminOsong,2021-09-29 10:56:32.787,WP_IKSAN,Y,,,N,,,,
140162927,140162927-0001,공무팀,Particle Counter(CI550Climet),J62006,익.공)공무팀,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,LZ-U-003,,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20030217,258000,1000,20030217,0,,SYSTEM,2021-05-27 14:15:34.353,adminOsong,2021-09-29 10:57:39.41,WP_IKSAN,Y,,,N,,,,
140162928,140162928-0001,공무팀,수배전판넬(증축동),J62006,익.공)공무팀,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,PL-U-501,,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20030822,616000,1000,20030822,0,,SYSTEM,2021-05-27 14:15:34.36,adminOsong,2021-09-29 10:58:05.717,WP_IKSAN,Y,,,N,,,,
140162932,140162932-0001,공무팀,Medium Filter Box(AU-U-007 덕트용),J62006,익.공)공무팀,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20031130,60000,1000,20031130,0,,SYSTEM,2021-05-27 14:15:34.363,adminOsong,2021-09-29 10:58:42.213,WP_IKSAN,Y,,,N,,,,
140162935,140162935-0001,QC팀,Electrophoresis Kit(Large Gel),J62205,익.의)QC화학분석실,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,1,0,ST4001,정상(사용중),EA,20000314,5000,500,20000314,0,,SYSTEM,2021-05-27 14:15:34.37,adminOsong,2021-09-29 10:59:32.807,WP_IKSAN,Y,,,N,,,,
140162935,140162935-0002,QC팀,Electrophoresis Kit(Large Gel),J62205,익.의)QC화학분석실,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20000314,5000,500,20000314,0,,SYSTEM,2021-05-27 14:15:34.37,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140162937,140162937-0001,QC팀,DEEP FREEZER,J62201,익.의)QC팀,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,FZ-Z-015,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20020201,116000,1000,20020201,0,,SYSTEM,2021-05-27 14:15:34.373,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140162938,140162938-0001,생산지원팀,라벨계수기,J62361,익.의)포장실,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,LC-Z-005,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20020401,41000,1000,20020401,0,,SYSTEM,2021-05-27 14:15:34.38,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140162941,140162941-0001,QC팀,ULTRASONIC CLEANER,J62205,익.의)QC화학분석실,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,WS-Q-004,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,19950327,986450,1000,19950327,0,,SYSTEM,2021-05-27 14:15:34.383,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140163021,140163021-0001,공무팀,전기설비 (공무팀),J62101,익.의)공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,전기설비,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20000103,567000,1000,20000103,0,,SYSTEM,2021-05-27 14:15:34.39,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140163026,140163026-0001,공무팀,WFI 펌프 (공무팀),J62101,익.의)공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,PU-HA-171,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20000103,467000,1000,20000103,0,,SYSTEM,2021-05-27 14:15:34.393,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140163031,140163031-0001,공무팀,출입통제시스템(지문인식기의약품) (공무팀),J62101,익.의)공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20010430,190000,1000,20010430,0,,SYSTEM,2021-05-27 14:15:34.407,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140163033,140163033-0001,공무팀,실험폐수탱크(의약품) (공무팀),J62101,익.의)공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,-,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20010725,160000,1000,20010725,0,,SYSTEM,2021-05-27 14:15:34.413,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140163034,140163034-0001,공무팀,변전실 분전반(의약품) (공무팀),J62101,익.의)공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,N/A,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20010827,106000,1000,20010827,0,,SYSTEM,2021-05-27 14:15:34.417,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140163036,140163036-0001,공무팀,HAEPO포장실전기설비 (공무팀),J62101,익.의)공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,HAEPO포장실전기설비,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20010925,1190000,1000,20010925,0,,SYSTEM,2021-05-27 14:15:34.423,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
140163037,140163037-0001,공무팀,상시가동기기 모니터링용계기 (공무팀),J62101,익.의)공장,7001,생명과학 익산공장 공통,1415,기계장치-화학전지광6,상시가동기기 모니터링용계기,,,,,,Y,발행,,,,,,0,0,ST4001,정상(사용중),EA,20011018,154000,1000,20011018,0,,SYSTEM,2021-05-27 14:15:34.427,SYSTEM,2021-09-18 03:16:03.2,WP_IKSAN,Y,,,N,,,,
