자 재	자재 내역	자재유형	자재유형 내역	생산저장위치	기준단위	포장단위	수출 포장 단위		
ABG0001S00	써지올 1.5mL	FERT	완제품	2610	PAC	#N/A	#N/A	신형흥아	0.17
ABH0001S00	써지올 2.5mL	FERT	완제품	2610	PAC	#N/A	#N/A	바이알실린지	0.17
ABJ0001S00	써지올 5.0mL	FERT	완제품	2610	PAC	#N/A	#N/A	바이알실린지	0.17
ABM0001S00	프로테스칼 5.0mL	FERT	완제품	2610	PAC	#N/A	#N/A	바이알실린지	0.17
ABM0001S01	프로테스칼 5.0mL 영문	FERT	완제품	2610	SYR	#N/A	#N/A	#N/A	0.17
ABM0001S02	프로테스칼 5.0mL CE	FERT	완제품	2610	SYR	#N/A	#N/A	#N/A	0.17
ABM0001S03	프로테스칼 5.0mL 말레이시아	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABM0001S04	프로테스칼 5.0mL 태국	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABM0001S05	프로테스칼 5.0mL 러시아	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABM0001S06	프로테스칼 5.0mL 터키	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABM0001S07	프로테스칼 5.0mL 페루	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABM0001S08	프로테스칼 5.0mL 1S 콜럼비아	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABM0001S09	프로테스칼 5.0mL 1S 케냐	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S00	프로테스칼 1.5mL	FERT	완제품	2610	PAC	1S	130	신형흥아	0.17
ABN0001S01	프로테스칼 1.5mL 영문	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S02	프로테스칼 1.5mL CE	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S03	프로테스칼 1.5mL 말레이시아	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S04	프로테스칼 1.5mL 태국	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S05	프로테스칼 1.5mL 러시아	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S06	프로테스칼 1.5mL 터키	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S07	프로테스칼 1.5mL 페루	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S08	프로테스칼 1.5mL 1S 콜럼비아	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABN0001S09	프로테스칼 1.5mL 1S 케냐	FERT	완제품	2610	SYR	1S	130	신형흥아	0.17
ABO9999S00	프로테스칼 5.0ml(임상)	FERT	완제품	2610	PAC	1S	#N/A	#N/A	0.17
ACE0180T00	에이스콜정 2밀리그람 180T(30T×6BT)	FERT	완제품	2610	PAC	#N/A	130	#N/A	
ACE0300T00	에이스콜정 2밀리그람 300T	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
ALD0040T00	에이렌드정 70mg (4T*10P)	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
APD0014L00	애피트롤내복현탁액 10mL*14포	FERT	완제품	1502	PAC	#N/A	#N/A	#N/A	
APE0014L00	애피트롤내복현탁액 20mL*14포	FERT	완제품	1502	PAC	#N/A	#N/A	#N/A	
APS0014L00	애피트롤ES내복현탁액5.2mL	FERT	완제품	1502	PAC	#N/A	#N/A	#N/A	0.17
BAH0000B01	LG에리스로포이에틴(BEPO+A)최종원액4000IU	FERT	완제품	2510	G	#N/A	#N/A	#N/A	
BFA0000B01	엘지에리스로포이에틴(BEPO)10000IU/mL	FERT	완제품	2510	G	#N/A	#N/A	#N/A	
BFC9999V00	에스포젠(BEPO) 주 10000IU/1mL 10V 임상	FERT	완제품	2610	PAC	10V	#N/A	#N/A	0.17
BFG0001V01	에스포젠(BEPO)주 10000IU/1mL 1×10V 인도	FERT	완제품	2610	VI	1x10V	1440	w	0.17
BFG0001V02	에스포젠(BEPO)주 10000IU/1mL 1×10V 조지아	FERT	완제품	2610	VI	10V	2800	w	0.17
BFG0010V00	에스포젠(BEPO)주10000IU/1mL 10V	FERT	완제품	2610	PAC	10V	1440	w	0.17
BFH0000B01	엘지에리스로포이에틴(BEPO)4000IU/mL	FERT	완제품	2510	G	#N/A	2800	#N/A	
BFK0001V01	에스포젠 (BEPO)주20000IU/2mL 1×10V 인도	FERT	완제품	2610	VI	1x10V	1440	w	0.17
BFN0001S01	에스포젠(BEPO)PS주1000IU/0.25mL6S영문	FERT	완제품	2610	SYR	6S	1440	#N/A	0.17
BFN0001S02	BEPO PS주 1000IU/0.25mL 6S 투르크	FERT	완제품	2610	SYR	6S	#N/A	#N/A	0.17
BFN0006S00	에스포젠(BEPO)PS주1000IU/0.25mL 6S	FERT	완제품	2610	PAC	6S	#N/A	신형흥아	0.17
BFO0001S01	에스포젠(BEPO)PS주2000IU/0.5mL6S영문	FERT	완제품	2610	SYR	6S	140	#N/A	0.17
BFO0001S02	BEPO PS주2000IU/0.5mL6S나이지리아	FERT	완제품	2610	SYR	6S	408	#N/A	0.17
BFO0001S03	BEPO PS주 2000IU/0.5mL 6S 투르크	FERT	완제품	2610	SYR	6S	#N/A	#N/A	0.17
BFO0001S04	BEPO PS주 2000IU/0.5mL 6S 아제르바이잔	FERT	완제품	2610	SYR	6S	570	바이알실린지	0.17
BFO0001S06	BEPO PS주 2000IU/0.5mL 1X6S 인도	FERT	완제품	2610	SYR	1x6S	384	구형흥아	0.17
BFO0001S07	BEPO PS주 2000IU/0.5mL 102S 우크라이나	FERT	완제품	2610	SYR	102S	384	#N/A	0.17
BFO0001S08	에스포젠(BEPO) PS 2000IU/0.5mL 6S 이라크	FERT	완제품	2610	SYR	6S	570	#N/A	0.17
BFO0001S14	BEPO PS주 2000IU/0.5mL 1S 파키스탄	FERT	완제품	2610	SYR	1S	480	구형흥아	0.17
BFO0006S00	에스포젠(BEPO)PS주2000IU/0.5mL 6S	FERT	완제품	2610	PAC	6S	#N/A	#N/A	0.17
BFQ0001S01	에스포젠(BEPO) PS  4000IU/0.4mL 6S 이라	FERT	완제품	2610	SYR	6S	570	#N/A	0.17
BFQ0001S02	에스포젠(BEPO) PS4000IU/0.4mL 6S 이라크	FERT	완제품	2610	SYR	6S	570	바이알실린지	0.17
BFQ0001S03	에스포젠(BEPO)PS주 4000IU/0.4mL6S시리아	FERT	완제품	2610	SYR	6S	570	바이알실린지	0.17
BFQ0001S04	에스포젠(BEPO)PS주4000IU/0.4mL6S영문	FERT	완제품	2610	SYR	6S	570	#N/A	0.17
BFQ0001S05	BEPO PS주4000IU/0.4mL6S나이지리아	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
BFQ0001S06	BEPO PS주 4000IU/0.4mL 6S 투르크	FERT	완제품	2610	SYR	6S	570	#N/A	0.17
BFQ0001S07	BEPO PS주 4000IU/0.4mL 6S 아제르바이잔	FERT	완제품	2610	SYR	6S	570	#N/A	0.17
BFQ0001S08	BEPO PS주 4000IU/0.4mL 1X6S 인도	FERT	완제품	2610	SYR	1x6S	384	구형흥아	0.17
BFQ0001S09	BEPO PS주 4000IU/0.4mL 102S 우크라이나	FERT	완제품	2610	SYR	102S	384	#N/A	0.17
BFQ0001S15	BEPO PS주 4000IU/0.4mL 1S 파키스탄	FERT	완제품	2610	SYR	1S	480	구형흥아	0.17
BFQ0001S19	BEPO PS주 4000IU/0.4mL 3S 파키스탄	FERT	완제품	2610	SYR	3S	456	구형흥아	0.17
BFQ0006S00	에스포젠(BEPO)PS주4000IU/0.4mL 6S	FERT	완제품	2610	PAC	6S	408	#N/A	0.17
BFR0001S01	에스포젠(BEPO)PS주3000IU/0.3mL6S영문	FERT	완제품	2610	SYR	6S	570	신형흥아	0.17
BFR0001S02	BEPO PS주 3000IU/0.3mL 6S 투르크	FERT	완제품	2610	SYR	6S	#N/A	#N/A	0.17
BFR0001S03	BEPO PS주 3000IU/0.3mL 1X6S 인도	FERT	완제품	2610	SYR	1x6S	384	구형흥아	0.17
BFR0006S00	에스포젠(BEPO)PS주3000IU/0.3mL 6S	FERT	완제품	2610	PAC	6S	384	바이알실린지	0.17
BFU0001S01	에스포젠(BEPO)PS주10000IU/1mL5S영문	FERT	완제품	2610	SYR	5S	570	#N/A	0.17
BFU0001S02	BEPO PS주10000IU/1mL5S나이지리아	FERT	완제품	2610	SYR	5S	220	#N/A	0.17
BFU0001S03	BEPO PS주 10000IU/1.0mL 5S 투르크	FERT	완제품	2610	SYR	5S	220	#N/A	0.17
BFU0001S04	BEPO PS주 10000IU/1mL 100S 우크라이나	FERT	완제품	2610	SYR	100S	#N/A	#N/A	0.17
BFU0001S09	BEPO PS주 10000IU/1.0mL 1S 파키스탄	FERT	완제품	2610	SYR	1S	220	구형흥아	0.17
BFU0005S00	에스포젠(BEPO)PS주10000IU/1mL 5S	FERT	완제품	2610	PAC	5S	#N/A	#N/A	0.17
CAA0001S00	이브아르용 캐뉼라 21G 50	FERT	완제품	1201	PAC	#N/A	220	#N/A	0.17
CAB0001S00	이브아르용 캐뉼라 23G 50	FERT	완제품	1201	PAC	#N/A	#N/A	#N/A	0.17
CAC0001S00	이브아르용 캐뉼라 25G 40	FERT	완제품	1201	PAC	#N/A	#N/A	#N/A	0.17
CAD0001S00	이브아르용 캐뉼라 27G 30	FERT	완제품	1201	PAC	#N/A	#N/A	#N/A	0.17
CAE0001S00	이브아르용 캐뉼라 27G 40	FERT	완제품	1201	PAC	#N/A	#N/A	#N/A	0.17
CAS0028T00	카스델정 28T	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
CET9999S00	에타너셉트 PS주 25mg 임상용	FERT	완제품	2610	PAC	1S	#N/A	#N/A	0.17
CIF0100T00	엘지시프로플록사신정250밀리그람 100T	FERT	완제품	2610	PAC	#N/A	0	#N/A	
CIF0300T00	엘지시프로플록사신정250MG 30T×10BT	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
CIL0300T00	엘지실로스타졸정 30T×10BT	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
CIL0500T00	엘지 실로스타졸정 500T	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
CLP0300T00	엘지클로피도그렐정 300T(30T×10BT)	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
COQ0010B00	CoQ10	FERT	완제품	3610	KG	#N/A	#N/A	#N/A	
CRT0060C00	카리토연질캡슐 60C	FERT	완제품	1502	PAC	#N/A	#N/A	#N/A	
