제품코드	제품명	제조		사용		제품입고(6/28 통보)		"자재
확보일"		QC	제품입고(6/24 통보)				
		번호	일자	일자	기한(년)	수량(syr)	출하요청일			완료(예정)일	수량(syr)	요청일	비고		
IVP0001S00	이브아르볼륨플러스	IVP19003	2019.06.11	2021.06.10	2.00 	6,229 	10/25	8/19 발주요청			6,229	10/25			
RFW0001S00	폴리트롭 PS주 225IU	RFW19008	2019.08.27	2022.08.26	3.00 	10,000 	10/7	9/2 발주요청			10,000	10/7			
HIC0001S00	히알플러스 0.95mL 1S	HIC19001	2019.05.24	2022.05.23	3.00 	9,201 	10/18	8/19 발주요청			9,201 	10/18			
HIB0001S00	히알2000주 0.85mL 1S	HIB19001	2019.03.28	2022.03.27	3.00 	4,170 	10/25	8/19 발주요청			4,170 	10/25			
IDM0001S00	이브아르하이드로	IDM18002	2018.10.18	2020.10.17	2.00 	800 	11/15			2018/12/4	800	11/4			
SIH0001S00	시노비안	SIH19043	2019.09.24	2021.09.23	2.00 	8,098 	11/22				9,100	11/22			
HIC0001S00	히알플러스 0.95mL 1S	HIC19001	2019.05.24	2022.05.23	3.00 	9,201 	11/27			2019/6/28	9,201 	10/30			
ICK0001S00	이브아르클래식플러스	ICK19003	2019.06.28	2021.06.27	2.00 	13,000 	11/29			2019/8/27	13,000	11/29			
IVS0001S00	와이솔루션540	IVS19001	2019.07.16	2020.12.15	1.42 	3,000 	11/13			케이스 변경(UDI적용), 분할포장(2차)	2019/9/3	포장기록서 발행		3,000 	11/13
IVL1001S00	이브아르컨투어플러스	IVL19004	2019.09.20	2021.09.19	2.00 	4,500 	11/19			분할포장(1차), 케이스 미입고(11/5 기준)	2019/11/6	10/14 발주요청		4,500	11/22
IIP1001S00	와이솔루션720	IIP19003	2019.08.16	2021.01.15	1.42 	4,613 	12/6				2019/9/27	10/14 발주요청		4,613	12/3
IVS0001S00	와이솔루션540	IVS19002	2019.10.02	2021.03.01	1.42 	4,500 	12/3			분할포장(1차)	2019/11/20	10/14 발주요청		4,500	12/3
IVL1001S00	이브아르컨투어플러스	IVL19004	2019.09.20	2021.09.19	2.00 	8,259 	12/5			분할포장(2차)	2019/11/6	10/14 발주요청		8,259	12/5
SIH0001S00	시노비안	SIH19045	2019.10.08	2021.10.07	2.00 	8,034 	12/6				2019/11/16	10/14 발주요청		8,034	12/5
