	로트			점도(cp)			투입량(Kg)			최종 점도(cp)		실측값	극한점도(%)
	종배양3	본배양	본배양	종배양3	본배양	본배양	종배양3	본배양	본배양	종배양+본배양	본배양	본배양	원제
HSB23002	AC20A09990	AC20A09990	AC20A09190	19856	19856	7041	2	7.5	7.5	14202	13449	n/a	106
HSB23003	AC20A09990	AC20A09990	AC20A09190	19856	19856	7041	2	7.5	7.5	14202	13449	n/a	100
HSB23004	AC20A09990	AC20A09990	AC20A09190	19856	19856	7041	2	7.5	7.5	14202	13449	13915	106
HSB23005	AC20A09990	AC20A09990	AC21A00830	19856	19856	6517	2	10	5	15933	15410	13626	113
HSB23006	AC20A09990	AC20A09990	AC21A00830	19856	19856	6517	2	10	5	15933	15410	16416	115
HSB23007	AC20A09990	AC20A09990	AC21A00830	19856	19856	6517	2	10	5	15933	15410	15033	115
HSB23008	AC20A09990	AC20A09990	AC21A00830	19856	19856	6517	2	10	5	15933	15410	18073	
HSB23009	AC20A09990	AC20A09990	AC21A00830	19856	19856	6517	2	7.5	7.5	13971	13187		
HSB23010	AC20A09990	AC20A09990	AC21A00830	19856	19856	6517	2	7.5	7.5	13971	13187		
HSB23011	AC20A09990	AC20A09990	AC21A00830	19856	19856	6517	2	7.5	7.5	13971	13187		
