	로트			점도(cp)			투입량(Kg)			계산 최종 점도(cp)		실측값	극한점도(%)
	종배양3	본배양	본배양	종배양3	본배양	본배양	종배양3	본배양	본배양	종배양+본배양	본배양	본배양	원제
HSB23002	AC20A09990	AC20A09990	AC20A09190	19856	19856	9773	2	7.5	7.5	15408	14815	n/a	106
HSB23003	AC20A09990	AC20A09990	AC20A09190	19856	19856	9773	2	7.5	7.5	15408	14815	n/a	100
HSB23004	AC20A09990	AC20A09990	AC20A09190	19856	19856	9773	2	7.5	7.5	15408	14815	13915	106
HSB23005	AC20A09990	AC20A09990	AC21A00830	19856	19856	8644	2	10	5	16558	16119	13626	113
HSB23006	AC20A09990	AC20A09990	AC21A00830	19856	19856	8644	2	10	5	16558	16119	16416	115
HSB23007	AC20A09990	AC20A09990	AC21A00830	19856	19856	8644	2	10	5	16558	16119	15033	115
HSB23008	AC20A09990	AC20A09990	AC21A00830	19856	19856	8644	2	10	5	16558	16119	18073	
HSB23009	AC20A09990	AC20A09990	AC21A00830	19856	19856	8644	2	7.5	7.5	14910	14250		
HSB23010	AC20A09990	AC20A09990	AC21A00830	19856	19856	8644	2	7.5	7.5	14910	14250		
HSB23011	AC20A09990	AC20A09990	AC21A00830	19856	19856	8644	2	7.5	7.5	14910	14250		
