Date	Batch	HA 투입	HA 극한점도	HA 동점도
	test01			9051
	test02			8980
	test03			7930
	test04			8029
	test05			7890
	test06			9283.3
	SGG16001	HSB16023	94	6953
	SGG16002	HSB16023	94	6953
	SGG16003	HSB16023	94	6953
	SGG16004	HSB16023	94	6953
	SGG16005	HSB16023	94	6953
	SGG16006	HSB16023	94	6953
	SGG16007	HSB16023	94	6953
	SGG16008	HSB16032	94	6394
	SGM16001	HSB15019	91	7663
	SGM16002	HSB15019	91	7663
	SGM16003	HSB15019	91	7663
	SGM16004	HSB15019	91	7663
	SGG17001	HSB16032	94	6394
	SGG17002	HSB16032	94	6394
	SGG17003	HSB16032	94	6394
	SGG17004	HSB16032	94	6394
	SGG17005	HSB16032	94	6394
	SGG17006	HSB17010	91	6875
	SGG17007	HSB17010	91	6875
	SGG17008	HSB17010	91	6875
	SGG17009	HSB17010	91	6875
	SGG17010	HSB17028	97	6708
	SGM17001	HSB16032	94	6394
	SGM17002	HSB17005	91	9551
	SGM17003	HSB17010	91	6875
	SGG18001	HSB17028	97	6708
	SGG18002	HSB17028	97	6708
	SGG18003	HSB17028	97	6708
	SGG18004	HSB17028	97	6708
	SGG18005	HSB18001	103	14366
	SGG18006	HSB18001	103	14366
	SGG18007	HSB18009	103	
	SGG18008	HSB18009	103	
	SGG18009	HSB18009	103	
	SGG18010	HSB18009	103	
	SGG18011	HSB18009	103	
	SGM18001	HSB17028	97	6708
	SGM18002	HSB17028	97	6708
	SGM18003	HSB17028	97	6708
	SGM18004	HSB18009	103	
	SGM18005	HSB18009	103	
19.01.03	SGG19001	HSB18009	103	
19.02.28	SGM19001	HSB18020	106.0 	16309 
19.06.20	SGM19002	HSB18020	106.0 	16309 
19.11.08	SGM19003	HSB19014	100.0 	10884 
19.01.17	SGG19002	HSB18020	106.0 	16309 
19.04.08	SGG19003	HSB18020	106.0 	16309 
19.04.22	SGG19004	HSB18020	106.0 	16309 
19.05.27	SGG19005	HSB18020	106.0 	16309 
19.06.10	SGG19006	HSB18020	106.0 	16309 
19.08.05	SGG19007	HSB18020	106.0 	16309 
19.09.16	SGG19008	HSB19014	100.0 	10884 
19.06.26	SGG19009	HSB19014	100.0 	10884 
19.10.18	SGG19010	HSB19014	100.0 	10884 
20.02.14	SGM20001	HSB19014	100.0 	10884 
20.04.13	SGM20002	HSB19033	96.9 	8619 
20.08.31	SGM20003	HSB19033	96.9 	8619 
20.10.05	SGM20004	HSB19033	96.9 	8619 
20.01.07	SGG20001	HSB19014	100.0 	10884 
20.03.16	SGG20002	HSB19014	100.0 	10884 
20.03.30	SGG20003	HSB19014	100.0 	10884 
20.05.11	SGG20004	HSB19033	96.9 	8619 
20.05.22	SGG20005	HSB19033	96.9 	8619 
20.06.11	SGG20006	HSB19033	96.9 	8619 
20.11.02	SGG20007	HSB19033	96.9 	8619 
21.01.04	SGG21001	HSB19033	96.9 	8619 
21.01.15	SGG21002	HSB19052	93.9 	11537 
21.03.24	SGG21003	HSB19052	93.9 	11537 
21.02.26	SGM21001	HSB19033	96.9 	8619 
21.04.22	SGM21002	HSB19052	93.9 	11537 
	SGM21003	HSB19052	93.9 	11537 
	SGG21004	HSB19052	93.9 	11537 
	SGG21005	HSB19052	93.9 	11537 
	SGG21006	HSB21017	96.9 	10443 
	SGG21007	HSB21017	96.9 	10443 
	SGG21008	HSB21017	96.9 	10443 
	SGM21004	HSB21017	96.9 	10443 
	SGG22001	HSB21017	96.9 	10443 
	SGG22002	HSB21017	96.9 	10443 
	SGG22003	HSB21017	96.9 	10443 
	SGM22001	HSB22003	93.9 	8043 
	SGM22002	HSB22003	93.9 	8043 
	SGG22004	HSB22003	93.9 	8043 
	SGG22006	HSB22003	93.9 	8043 
	SGM22003	HSB22003	93.9 	8043 
	SGM22004	HSB22003	93.9 	8043 
	SGG22007	HSB22003	93.9 	8043 
