Date	Time	102PH.DACA.PV	상한	하한
2023-03-03	11:23:00	7.34	7.4	6.8
2023-03-03	11:24:00	7.34	7.4	6.8
2023-03-03	11:25:00	7.32	7.4	6.8
2023-03-03	11:26:00	7.31	7.4	6.8
2023-03-03	11:27:00	7.3	7.4	6.8
2023-03-03	11:28:00	7.34	7.4	6.8
2023-03-03	11:29:00	7.35	7.4	6.8
2023-03-03	11:30:00	7.34	7.4	6.8
2023-03-03	11:31:00	7.32	7.4	6.8
2023-03-03	11:32:00	7.31	7.4	6.8
2023-03-03	11:33:00	7.3	7.4	6.8
2023-03-03	11:34:00	7.32	7.4	6.8
2023-03-03	11:35:00	7.36	7.4	6.8
2023-03-03	11:36:00	7.35	7.4	6.8
2023-03-03	11:37:00	7.34	7.4	6.8
2023-03-03	11:38:00	7.33	7.4	6.8
2023-03-03	11:39:00	7.32	7.4	6.8
2023-03-03	11:40:00	7.3	7.4	6.8
2023-03-03	11:41:00	7.3	7.4	6.8
2023-03-03	11:42:00	7.34	7.4	6.8
2023-03-03	11:43:00	7.33	7.4	6.8
2023-03-03	11:44:00	7.32	7.4	6.8
2023-03-03	11:45:00	7.31	7.4	6.8
2023-03-03	11:46:00	7.3	7.4	6.8
2023-03-03	11:47:00	7.31	7.4	6.8
2023-03-03	11:48:00	7.34	7.4	6.8
2023-03-03	11:49:00	7.33	7.4	6.8
2023-03-03	11:50:00	7.32	7.4	6.8
2023-03-03	11:51:00	7.31	7.4	6.8
2023-03-03	11:52:00	7.3	7.4	6.8
2023-03-03	11:53:00	7.32	7.4	6.8
2023-03-03	11:54:00	7.34	7.4	6.8
2023-03-03	11:55:00	7.33	7.4	6.8
2023-03-03	11:56:00	7.32	7.4	6.8
2023-03-03	11:57:00	7.31	7.4	6.8
2023-03-03	11:58:00	7.3	7.4	6.8
2023-03-03	11:59:00	7.33	7.4	6.8
2023-03-03	12:00:00	7.34	7.4	6.8
2023-03-03	12:01:00	7.33	7.4	6.8
2023-03-03	12:02:00	7.32	7.4	6.8
2023-03-03	12:03:00	7.31	7.4	6.8
2023-03-03	12:04:00	7.3	7.4	6.8
2023-03-03	12:05:00	7.32	7.4	6.8
2023-03-03	12:06:00	7.37	7.4	6.8
2023-03-03	12:07:00	7.36	7.4	6.8
2023-03-03	12:08:00	7.35	7.4	6.8
2023-03-03	12:09:00	7.34	7.4	6.8
2023-03-03	12:10:00	7.33	7.4	6.8
2023-03-03	12:11:00	7.32	7.4	6.8
2023-03-03	12:12:00	7.31	7.4	6.8
2023-03-03	12:13:00	7.3	7.4	6.8
2023-03-03	12:14:00	7.33	7.4	6.8
2023-03-03	12:15:00	7.34	7.4	6.8
2023-03-03	12:16:00	7.33	7.4	6.8
2023-03-03	12:17:00	7.32	7.4	6.8
2023-03-03	12:18:00	7.31	7.4	6.8
2023-03-03	12:19:00	7.3	7.4	6.8
2023-03-03	12:20:00	7.32	7.4	6.8
2023-03-03	12:21:00	7.37	7.4	6.8
2023-03-03	12:22:00	7.36	7.4	6.8
2023-03-03	12:23:00	7.35	7.4	6.8
2023-03-03	12:24:00	7.34	7.4	6.8
2023-03-03	12:25:00	7.33	7.4	6.8
2023-03-03	12:26:00	7.32	7.4	6.8
2023-03-03	12:27:00	7.31	7.4	6.8
2023-03-03	12:28:00	7.3	7.4	6.8
2023-03-03	12:29:00	7.33	7.4	6.8
2023-03-03	12:30:00	7.34	7.4	6.8
2023-03-03	12:31:00	7.33	7.4	6.8
2023-03-03	12:32:00	7.32	7.4	6.8
