"공정 
 
  배치번호"	공정일자	투입배지 Lot No.				제조사 Lot No.(소형발효점도)				YEO LOD값	YEO 점도(Cp)	YEO 점도(Cp)	특이사항	"특이사항
 (내부 확인용)"	본배양					균체제거						한외여과		흡착			벌크 회수					침전	QC Release (LIMS)					QC IPC(LIMS)					"연구소
 (자체분석)"
															"P.68
 74~75"	P.92	P90		P76,P114	P.113	P.114	-	p.182	p.182	p.182	P.118	P.185	"P.187
 194"	P.188	"P.124
 190"	"P.191
 196"	"P.206
 184/176"	P.206	P.206	ERP		-		-	-	-	본배양 후	흡착액	EDTA 투입전	146번 탱크	제균필터사이	
															"본배양액 
 무게(kg)"	포도당 농도(g/L)	본배양 후OD600	pH	본배양 종료 후 균체제거까지의 Holding Time(min)	"희석
 정제수(L)"	"균체제거
 (min)"	"균체추가
 (O,X)"	균체제거 후OD600	균체제거 후OD280	"균체제거액
 생산량(g)"	"순환 시간
 흐름시간 13.5초
 이하 도달(min)"	"한외여과액
 생산량(g)"	"잔류 단백질 
 농도
 (µg/mL)"	"흡착제 
 제거액 
 pH"	"흡착공정
 생산량(g)"	"건조감량
 (%)"	"벌크무게#1 
 무게(g)"	"벌크무게#2
 무게(g)"	"최종 벌크 
 생산량(g)
 <ERP입력>"	"API 생산량
 (최종벌크생산량*히알벌크함량/100)"	"Filtration 
 시간
 (min)"	"히알벌크함량
 (생산지시용)
 *(100-건조감량)/100"	"엔도톡신
 (EU/mg)"	"극한점도
 (%)"	"잔류EDTA
 (%)"	"건조감량
 (%)"	"(0120)
 엔도톡신
 (EU/mL)"	"(0230)
 엔도톡신
 (EU/mL)"	"(0270)
 엔도톡신
 (EU/mL)"	"(0310)
 Bioburden
 (CFU/10mL)"	"(0345)
 Bioburden
 (CFU/100mL)"	"평균분자량
 (kDa)"
		종	본1	본2	본3	종	본1	본2	본3		종배양+본배양	본배양								1050±400L			≤ 0.1		≥ 3737			≤ 3.0			≤ 15.0							≤ 0.05	90 ~ 120	≤ 0.1	≤ 20.0	< 8.00	≤ 0.12	≤ 0.06	자체확인	≤ 10	
HSB13001															1214								0.074		4819	150	4083	1.4	6.5	3790	12.1			3749													
HSB13002															1200								0.074		4278	100	3995	1.2	6.6	3781	9.5			3658													
HSB13003															1215								0.074		4457	105	3982	2.2	6.4	3645	12.1			3702													
HSB13004															1203								0.071		4298	105	3849	2.8	7.1	3643	7.7			3481													
HSB13005															1219								0.073		4452	105	3874	2.9	7.1	3679	12.4			3665													
HSB13006															1213								0.066		4267	100	4064	1.5	6.9	3792	7.9			3569													
HSB13007						51200240									1205								0.086		4157	100	3790	2.8	6.7	3480	8.5			3341													
HSB13008															1219								0.026		4018	160	3692	2.1	6.6	3264	6.5			3166													
HSB13009															1246								0.042		4130	157	3825	2	6.7	3425	7.7			3289													
HSB13010															1192								0.036		4301	100	3701	2.6	6.7	3340	5.7			3137													
HSB13011															1192								0.059		4168	100	3687	2.6	6.7	3425	4.8			3188													
HSB13012															1190								0.058		4094	140	3793	1.6	6.8	3470	4.9			3281													
HSB13013															1190								0.069		4291	140	3803	2.4	6.8	3447	8.6			3362													
HSB13014															1189								0.067		4305	100	3835	2.6	6.7	3515	8.2			3312													
HSB13015															1199								0.106		4552	150	3928	1.7	6.8	3674	7.1			3415													
HSB13016															1211								0.109		4481	160	3924	2.6	6.6	3607	7.6			3496													
HSB13017															1189								0.055		4479	160	3580	1.9	6.7	3286	9.3			3207													
HSB13018															1184								0.089		4854	160	4044	2.1	6.8	3703	7.8			3591													
HSB13019															1176								0.115		4351	100	4108	1.8	6.7	3772	10.1			3556													
HSB13020															1202								0.113		4428	100	4161	2.6	6.7	3701	9.1			3491													
HSB13021															1201								0.125		4374	100	4035	2.9	6.7	3714	6			3556													
HSB13022						51200280									1182								0.08		4371	100	3717	1.9	6.7	3449	11.8			3346													
HSB13023															1196								0.138		4329	100	3759	1.9	6.5	3416	11.4			3322													
HSB13024															1190								0.105		4369	150	3696	1.7	6.4	3374	11.1			3319													
HSB13025															1213								0.107		4458	150	3798	0.6	6.6	3411	10.7			3396													
HSB13026															1194								0.127		4419	155	3824	1.2	6.8	3511	11.1			3347													
HSB13027						51200230									1178								0.089		4524	160	3843	2.6	6.4	3534	11.7			3553													
HSB13028															1201								0.094		4361	160	3660	2.5	6.9	3487	7			3465													
HSB13029															1193								0.097		4605	160	3922	2	6.7	3587	10.8			3566													
HSB14001															1189								0.085		4391	160	3933	2.6	6.7	3723	9.5			3588													
HSB14002															1188								0.087		4549	160	3955	2.6	6.9	3514	8.4			3452													
HSB14003															1184								0.017		4093	250	2689	2.7	7	2591	7			2556													
HSB14004															1191								0.074		4500	160	3982	2.1	7	3509	9			3516													
HSB14005															1211								0.094		4656	160	3886	2.7	7.1	3692	7.8			3503													
