 구분 	 집수조 				 희석조 					 희석효율 			
	 오염물질 농도 			 처리량 	 오염물질 농도 			 처리량 	" 공업용수+냉각수
+배수로수 "	 오염물질 농도 			 희석배율 
	 TOC 	 COD 	 T-N 		 TOC 	 COD 	 T-N 		 희석량 	 TOC 	 COD 	 T-N 	
2023-01-13	 - 	 - 	 - 	 192 	 1,678 	 - 	 - 	 560 	 368 	-	-	-	 1.92 
2023-01-14	 - 	 - 	 - 	 181 	 - 	 - 	 - 	 572 	 391 	-	-	-	 2.16 
2023-01-15	 - 	 - 	 - 	 131 	 - 	 - 	 - 	 473 	 342 	-	-	-	 2.61 
2023-01-16	 2,175 	 2,350 	 240 	 136 	 842 	 740 	 74 	 505 	 369 	61%	69%	69%	 2.71 
2023-01-17	 - 	 - 	 - 	 181 	 1,350 	 - 	 - 	 552 	 371 	-	-	-	 2.05 
2023-01-18	 - 	 - 	 - 	 161 	 1,624 	 - 	 - 	 514 	 353 	-	-	-	 2.19 
2023-01-19	 5,590 	 3,480 	 130 	 133 	 1,172 	 1,008 	 46 	 511 	 378 	79%	71%	65%	 2.84 
2023-01-20	 - 	 - 	 - 	 50 	 - 	 - 	 - 	 331 	 281 	-	-	-	 5.62 
2023-01-21	 - 	 - 	 - 	 63 	 - 	 - 	 - 	 300 	 237 	-	-	-	 3.76 
2023-01-22	 - 	 - 	 - 	 44 	 - 	 - 	 - 	 375 	 331 	-	-	-	 7.52 
2023-01-23	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 329 	 329 	-	-	-	 - 
2023-01-24	 - 	 - 	 - 	 73 	 - 	 - 	 - 	 249 	 176 	-	-	-	 2.41 
2023-01-25	 - 	 - 	 - 	 96 	 377 	 - 	 - 	 367 	 271 	-	-	-	 2.82 
2023-01-26	 - 	 3,530 	 190 	 124 	 - 	 778 	 55 	 515 	 391 	-	78%	71%	 3.15 
2023-01-27	 - 	 - 	 - 	 174 	 357 	 - 	 - 	 543 	 369 	-	-	-	 2.12 
2023-01-28	 - 	 - 	 - 	 198 	 - 	 - 	 - 	 640 	 442 	-	-	-	 2.23 
2023-01-29	 - 	 - 	 - 	 301 	 - 	 - 	 - 	 463 	 162 	-	-	-	 0.54 
2023-01-30	 - 	 - 	 120 	 348 	 - 	 - 	 120 	 543 	 195 	-	-	0%	 0.56 
2023-01-31	 5,034 	 2,670 	 - 	 319 	 2,143 	 978 	 - 	 520 	 201 	57%	63%	-	 0.63 
2023-02-01	 - 	 - 	 - 	 323 	 - 	 - 	 - 	 525 	 202 	-	-	-	 0.63 
2023-02-02	 - 	 - 	 - 	 231 	 1,692 	 - 	 - 	 559 	 328 	-	-	-	 1.42 
