BatchNo	YEOTest	Seed1_OD	Seed2_OD	Seed3_OD	Seed3_glucose	Seed3_time(hr)	Main_OD	Main_glucose	Main_weight	Main_time(hr)	DilusionPW	"HoldingTime
(min)"	HoldingTemp	Filterpresstime	FilterpressRecovery_time	Dumping	Filterpress_OD600	Filterpress_OD260	Filterpress_OD280	Filterpress_pH	Filterpress_conductivity	Filtrated_volume	CirculationTime(min)	UF_Filtration_time(hr)	UFEndVolume	UFpH	UFOD260	UFOD280	Adsorption_Protein	AdsorptionTime	Desorption_Volume	Desorption_pH	DesorptionOD260	Desorption_OD280	EDTA_pH	Sterile_Filtration time(min)	EtOHVolume	RecoveryLOD	RecoveryWeight	APIWeight	Viscosity
HSB19001	20619 	1.36	1.36	3.68	18.1 	18.0	7.30	3.87	1186	17.2 	1071	168 	20	59	142	X	0.078	14.11	9.29	5.9	16.3	2070	150	11.8	1740	5.5	1.501	1.216	2.7	8.5	2320	6.1	0.013	0.008	6.0 		4265 	10.9	3489	3011	112.7 
HSB19002	20619 	1.30	1.41	3.22	19.2 	17.1	7.70	3.61	1177	18.3 	1051	156 	20	56	145	X	0.095	14.15	9.34	5.9	17.1	2100	100	15.7	1740	5.4	1.470	1.208	2.6	8.0	2340	6.0	0.012	0.008	5.9 		4285 	12.4	3594	3020	110.9 
HSB19003	20619 	1.37	1.40	3.80	17.1 	17.3	7.60	3.75	1170	16.9 	1065	204 	20	59	137	X	0.063	14.29	9.42	5.8	16.3	2004	160	11.7	1730	5.5	1.290	2.028	2.5	11.0	2370	6.4	0.011	0.007	6.0 		4317 	10.6	3543	3036	110.0 
HSB19004	20619 	1.34	1.41	3.74	16.6 	17.7	7.30	3.72	1174	17.3 	1053	294 	19	48	111	O	0.074	13.93	9.18	5.9	16.6	2055	155	11.8	1720	5.5	1.289	1.034	1.6	9.0	2354	5.9	0.011	0.007	5.8 		4300 	6.3	3494	3160	110.3 
HSB19005	20619 	1.29	1.44	3.28	17.7 	18.0	7.90	3.79	1183	17.4 	1051	252 	19	53	148	X	0.087	14.53	9.59	5.9	16.7	2023	140	11.9	1740	5.5	1.262	1.007	1.4	10.0	2370	6.0	0.009	0.006	6.0 		4317 	7.2	3322	2970	113.0 
HSB19006	20619 	1.36	1.35	3.26	17.1 	17.6	7.50	3.94	1180	17.2 	1052	240 	19	63	151	X	0.078	14.35	9.45	5.8	16.0	2054	125	11.5	1740	5.5	1.234	0.980	1.9	10.5	2380	6.5	0.012	0.007	6.1 		4327 	6.6	3356	2967	113.9 
HSB19007	20619 	1.43	1.36	3.26	16.5 	17.7	7.65	3.67	1196	17.9 	1054	252 	19	60	147	X	0.074	14.11	9.31	5.9	16.1	2100	150	11.2	1750	5.5	1.192	0.948	2.1	10.3	2380	6.5	0.012	0.007	6.1 		4327 	11.5	3322	2941	111.8 
HSB19008	20619 	1.38	1.35	3.46	17.5 	19.0	7.75	3.93	1175	17.7 	1047	162 	19	53	138	X	0.067	14.07	9.25	5.9	16.5	2059	130	11.4	1720	5.5	1.353	1.094	2.7	11.2	2376	6.4	0.011	0.007	6.1 		4322 	7.5	3485	3085	109.7 
HSB19009	20619 	1.50	1.37	3.38	16.5 	18.0	7.55	3.62	1172	17.5 	1058	240 	19	53	150	X	0.097	14.40	9.54	5.8	15.9	2070	100	11.2	1725	5.4	1.451	1.168	1.5	11.7	2380	6.3	0.012	0.010	6.0 		4327 	6.7	3351	3023	113.3 
HSB19010	20619 	1.33	1.45	3.56	15.7 	17.0	7.55	3.45	1168	18.3 	1048	240 	19	66		X	0.140	15.56	10.30	5.8	16.5	2040	100	11.4	1725	5.5	1.703	1.389	1.6	11.3	2340	6.3	0.013	0.008	6.0 		4285 	10.3	3341	2971	113.3 
HSB19011	20619 	1.40	1.35	3.42	17.3 	18.0	7.65	3.78	1176	17.5 	1035	282 	19	62		X	0.094	14.71	9.70	5.8	17.4	2028	100	11.8	1730	5.4	1.490	1.203	1.6	11.0	2370	6.3	0.013	0.009	6.0 		4317 	5.6	3443	3120	112.1 
HSB19012	20619 	1.40	1.37	3.84	16.1 	17.7	7.80	3.83	1166	16.7 	1052	258 	21	64		X	0.127	14.55	9.55	5.7	16.8	2065	100	11.8	1725	5.3	1.677	1.371	1.2	11.1	2380	6.3	0.011	0.008	6.0 		4327 	5.3	3374	3055	112.7 
HSB19013	20619 	1.40	1.36	3.40	17.3 	18.0	7.65	3.53	1174	18.0 	1057	174 	20	56	125	O	0.067	14.58	9.59	5.9	16.3	2045	150	12.2	1720	5.6	1.155	0.915	0.9	9.5	2380	6.6	0.014	0.009	6.2 		4327 	7.5	3534	3142	107.9 
HSB19014	10300 	1.21	1.24	3.28	16.1 	21.0	8.25	3.89	1187	17.3 	1050	90 	20	41	73	O	0.052	10.39	7.20	5.9	17.1	2102	140	10.5	1780	5.7	0.848	0.674	0.7	10.7	2380	7.1	0.015	0.009	6.3 		4327 	6.7	3481	3089	99.1 
HSB19015	10300 	1.15	1.26	3.18	13.2 	21.0	8.65	3.75	1154	16.3 	1060	96 	20	41	83	O	0.056	10.94	7.58	5.8	17.3	2010	140	10.6	1785	5.6	0.809	0.636	2.7	11.0	2380	7.3	0.017	0.011	6.4 		4327 	7.6	3565	3144	99.1 
HSB19016	10300 	1.21	1.30	3.44	13.5 	21.1	8.30	3.44	1172	16.6 	1049	114 	20	38	81	O	0.052	10.62	7.37	6.0	17.2	2015	140	10.3	1760	5.7	0.872	0.695	1.1	12.0	2380	7.1	0.016	0.009	6.3 		4327 	6.9	3566	3208	101.2 
HSB19017	20619 	1.50	1.35	3.46	14.5 	18.3	7.75	3.90	1163	16.5 	1045	240 	20	47	125	X	0.092	14.70	9.72	5.7	16.3	2005	120	11.7	1770	5.3	1.400	1.148	1.5	10.2	2380	7.9	0.014	0.009	6.4 		4327 	6.0	3429	3065	107.6 
HSB19018	20619 	1.32	1.39	3.66	19.2 	18.1	7.50	3.50	1160	17.7 	1250	216 	20	48	136	X	0.085	14.22	9.39	5.9	16.2	2200	100	12.3	1740	5.5	1.159	0.944	1.1	11.1	2380	8.6	0.015	0.010	6.3 		4327 	7.2	3437	3059	110.9 
HSB19019	20619 	1.35	1.31	3.44	16.4 	18.1	7.70	3.94	1175	17.4 	1410	204 	20	52	144	X	0.072	13.04	8.61	5.8	15.0	2410	100	11.6	1770	5.4	1.162	0.940	1.6	11.4	2380	8.6	0.012	0.007	6.3 		4327 	6.7	3419	3081	109.1 
HSB19020	20619 	1.41	1.36	3.16	15.0 	18.1	7.90	3.11	1158	18.2 	1400	156 	20	49	93	X	0.057	12.76	8.41	5.8	15.4	2330	105	10.9	1725	5.6	1.198	0.945	2.0	12.4	2380	8.4	0.015	0.009	6.1 		4327 	8.3	3397	3063	108.5 
HSB19021	20619 	1.33	1.27	3.68	17.2 	18.2	7.70	3.66	1162	17.1 	1065	240 	20	50	123	O	0.090	14.65	9.66	5.8	16.5	2030	140	11.1	1725	5.5	1.282	1.012	1.7	11.6	2380	8.4	0.017	0.009	6.3 		4327 	5.7	3519	3169	105.2 
HSB19022	20619 	1.33	1.29	3.80	18.4 	18.1	7.65	3.90	1176	16.9 	1049	246 	20	41	112	O	0.073	14.35	9.50	5.8	17.2	2058	150	10.8	1732	5.6	1.240	0.968	1.0	11.2	2360	7.6	0.017	0.009	6.2 		4307 	8.7	3440	3138	103.3 
HSB19023	20619 	1.44	1.30	3.66	17.6 	18.2	7.65	3.86	1171	17.4 	1023	240 	20	42	108	O	0.073	14.28	9.43	5.8	16.6	2040	135	10.7	1735	5.5	1.233	0.969	2.6	10.9	2374	6.9	0.017	0.011	6.3 		4319 	5.9	3357	3115	105.5 
HSB19024	20619 	1.40	1.38	3.76	17.1 	18.1	7.85	3.81	1154	17.3 	1032	228 	20	45	136	O	0.092	14.47	9.54	5.8	16.5	2050	120	11.4	1705	5.5	1.486	1.177	0.9	11.7	2360	8.1	0.015	0.009	6.3 		4307 	5.8	3411	3141	109.7 
HSB19025	11514 	1.34	1.27	3.34	18.3 	18.6	8.70	3.60	1152	16.8 	1080	216 	20	40	75	O	0.052	10.89	7.45	5.8	16.6	2098	150	10.5	1770	5.7	0.766	0.610	1.9	8.6	2360	8.5	0.015	0.008	6.4 		4307 	9.5	3602	3203	96.7 
HSB19026	11514 	1.37	1.38	3.30	19.1 	18.6	8.70	3.23	1166	16.9 	1058	198 	20	40	95	O	0.073	11.29	7.73	5.7	16.9	2040	130	10.4	1730	5.6	0.745	0.588	0.4	8.4	2360	8.4	0.016	0.009	6.3 		4307 	6.0	3490	3139	94.2 
