Batch No.	DP55_DP58Assay(%)	DP55_DP58Chiral평균(%ee)	DP55_반응시간(h)	DP55_내부온도(℃ ~ ℃)	DP55_압력(kgf/cm2)	DP55_DP 58(%)	DP55_증류시간(h)	DP55_pH	DP55_pH	DP55_MTBE 잔량(%)	DP55_TOL 잔량(%)	DP53_반응시간(h)	DP53_DP55잔량Final(%)	DP52_반응시간(h)	DP52_DP53 잔량(%)	DP52_HCl적가시간(h)	DP52_HCl사용량(L)	DP52_pH(6.5~7)	DP57_반응시간(h)	DP57_27.46%NaOH 투입량(kg)	DP57_내부온도(℃ ~ ℃)	DP57_DP52잔량(%)	DP57_EtOH증류시간(h)	DP57_EtOH잔량(%)(참고치)	DP57_pH(2.5~3)	DP57_10.32% HCl총사용량(L)	DP57수율_함량(%)93.0~102.0%	DP57수율_Net수율(%)	DP57수율_Chiral(% ee)	DP57수율_EtOH잔량(%)	DP57수율_OrganicImpurityTotal(%)	DP57수율_수분(%)
19001	99.41	97.34	8	43.5	6.3	0.03	24	4	9.23	1.15	1.6	30	2.89	12	1.33	7	2070	6.68	1	275.9	75.7	0.59	22	13.42	2.53	570	95.58	67	97.81	0.39	2.26	0.11
19002	99.53	97.44	8	43	6.3	0.1	28	3.8	9.3	0.1	1.5	11	0	12	1.57	2	2000	6.75	1	276	76.3	0.24	23	12.84	2.51	580	96.14	62.81	98.63	0.38	1.91	0.16
19003	99.07	97.56	8	44.7	6.3	0.05	27.5	3.4	9.31	7.97	1.86	17.5	3.29	15	2.57	2.7	2100	6.63	1	275.9	77.3	0.39	23	12.03	2.8	570	96.16	62.91	98.4	0.43	1.89	0.08
19004	99.17	97.26	8	41.2	6.3	0.05	19	3.2	9.28	0.12	0.52	20	3.31	13	2.94	2.5	2120	6.6	10	276	77.2	1.6	24	8.68	2.54	580	95.39	65.62	98.35	0.62	2.46	0.17
19005	98.87	97.15	8	41.7	6.3	0.06	24.5	3.7	9.3	0.47	7.54	22	3.62	10	2.06	2	2080	6.77	3.5	276	77.5	1.71	24	8.3	2.79	850	96.06	66.44	97.85	0.44	2.22	0.17
19006	98.93	97.46	8	40.8	6.3	0.03	27.5	3.5	9.2	0.25	1.37	10	0	10	2.88	2	2100	6.7	1	276	76.9	1.96	22.5	9.45	2.6	850	96.06	66.81	98.21	0.44	2.22	0.17
19007	98.81	97.83	8	43	6.3	0	28	3.2	9.12	1.98	1.77	10	1.21	12	0.98	2	2100	6.61	2.5	275.9	76.3	1.9	21	13.14	2.53	570	94.34	60.29	98.07	0.62	3.53	0.15
19008	99.41	97.86	8	45	6.3	0	24	3.6	9.38	3.27	1.64	10	1.02	12	1.47	2	2050	6.52	1	276	76.5	1.04	19	8.31	2.9	920	96.09	62.52	98.58	0.48	1.89	0.17
19009	99.49	97.97	8	40.4	6.3	0.03	24	3.8	9.3	5.78	1.86	14	3.36	12	2.11	2.3	2080	6.65	2	276	77.8	0.1	21.5	11.06	2.53	580	96.44	62.86	98.72	0.43	1.42	0.16
19010	99.3	97.99	8	41.3	6.3	0.08	23.5	3.5	9.25	5.12	1.72	15	3.1	10.5	1.4	2.6	2100	6.62	1	276	77.6	1.51	21	12.47	2.6	550	95.67	65.27	98.19	0.55	2.26	0.15
19011	99.35	97.57	8	43.3	6.3	0.07	26	3.5	9.17	0.59	1.47	10	2.35	14	2.53	2.3	2100	6.53	2	276	76.6	1.24	21.5	14.78	2.5	550	95.52	66.06	97.99	0.67	2.43	0.15
19012	99.55	97.51	8	44.2	6.3	0.14	28	3.5	9.4	0.32	1.22	12	3.53	10	2.52	4	2050	6.6	1	276	77	0.06	24	9.51	2.8	570	96.54	63.17	98.45	0.3	1.43	0.23
19013	99.9	97.7	8.5	43.2	5.4	0	28	3.8	9.3	3.77	2.11	10	1.82	10	2.48	3.5	2100	6.7	1	276	76.4	0.75	24.5	8.69	2.55	990	95.76	62.72	98.29	0.39	1.78	0.32
19014	99.26	97.59	8	42.6	6.4	0.16	29	3.8	9.5	0.41	0.5	10	1.57	12	1.85	3	2020	6.6	1	276	75.2	0.99	20	10.44	2.57	950	96.24	62.97	98.16	0.45	1.54	0.22
19015	99.38	97.57	8	41.7	6.3	0.06	31	3.8	9.2	2.62	1.94	14	3.07	10	1.99	2.5	2100	6.77	1	276	77	1.58	20	9.61	2.7	580	95.96	62.79	98.08	0.42	1.85	0.25
19016	99.22	97.62	8	41.3	6.3	0	28.5	3.2	9.1	0.28	1.04	10	3.23	10	3.15	2.5	2200	6.72	1	276	75.2	1	19.5	8.42	2.55	930	94.35	64.91	97.42	0.65	3.09	0.23
19017	99.36	97.56	8	41.9	5.9	0.07	28.5	3.7	9.2	0.12	2.93	10	2.47	13.4		3	2100	6.8	1	276	77	0.55	16.5	11.7	2.8	580	96.16	67.41	97.75	0.39	1.7	0.26
19018	99.38	97.6	8	40.6	6.3	0.02	28	3.3	9.14	0.04	2.17	21	3.74	12	1.76	3.5	2080	6.6	4	311	76.5	0.32	18	7.06	2.52	990	95.92	71.73	97.99	0.43	1.96	0.32
19019	100.44	97.46	8	42.5	6.4	0.01	25	3.9	9.39	3.94	2.03	18.5	3.52	10	2.61	3	2200	6.7	5	287	76.5	1.25	20.5	10.8	2.6	600	95.08	66.65	97.56	0.58	2.85	0.39
19020	100.4	97.37	8	44.9	6.3	0.04	24	3.4	9.15	4.25	1.68	10	2.92	11		2.5	2120	6.74	2.5	276	77	1.26	20	11.49	2.51	580	94.57	65.57	98.28	0.63	3.19	0.05
19021	100.6	97.67	8	40.7	6.3	0.08	23	3.4	9.1	0.1	0.24	12	2	10		2	2120	6.6	1	276	76.3	1.39	20.5	15.35	2.51	580	95.54	65.58	97.59	0.53	2.23	0.11
19022	97.8	97.63	8	41.3	6.3	0.04	22	3.6	9.25	1.84	1.48	12	1.56	10	2	2	2110	6.7	1	276	77.6	1.23	21	12.11	2.52	550	96.03	62.53	98.51	0.41	1.99	0.41
19023	97.64	97.41	10.6	42.2	6.3	0	25.2	3.4	9.32	17.91	2.12	18	5.66	18.8	3.37	2.8	2300	6.6	4.5	357	77.8	0.33	21	13.79	2.5	800	95.32	59.14	98.35	0.4	2.14	0.17
19024	99.36	97.4	8	41.8	6.4	0	22	3.5	9.3	7.95	1.51	20	11.87	12	2.16	2	2230	6.8	7	304.4	76.8	2.05	21.5	16.7	2.6	1160	94.53	50.49	97.57	0.52	2.87	0.11
19025	99.62	97.92	8	38.6	6.3	0.2	22	3.4	9.4	0.2	0.9	18.5	7.75	12	2.18	2.3	2350	6.57	4	276	78	2.27	21	16.82	2.7	580	94.29	63.72	97.43	0.728	3.99	0.21
20001	99.73	97.73	8	38.8	6.3	0.2	27.5	3.5	9.05	0.23	1.28	14	6.27	10	0.99	2	2100	6.82	1	276	77.2	1.13	20.5	15.6	2.59	620	95.69	67.33	97.49	0.61	2.39	0.15
20002	99.66	97.76	8	39	6.3	0.06	28	3.8	9.16	12.1	2.92	17	15.81	12	2.84	2.5	2250	6.8	4	298	78.5	1.45	22.5	8.15	2.6	650	89.09	38.51	98.36	0.35		0.05
20003	99.65	98.12	8	42.5	6.2	0.04	25	3.1	9.26	6.86	2.74	13	5.1	10	2.39	3	2200	6.82	4	314	78	0.9	24	8.66	2.8	640	95.25	67.59	98.35	0.39	1.95	0.08
20004	99.64	98.45	8	43.6	6.2	0.01	24.5	3.5	9.1	3.3	1.66	12	4.11	10	1.64	2	2050	6.89	4	302	75.8	1.56	20	13.51	2.59	1000	95.63	67.04	98.25	0.59	2.51	0.17
20005	100	98.28	8	44.2	6.3	0.05	24	3.3	9.3	0.13	0.34	10	0	10	2.46	2	2100	6.6	4	281	78	1.76	20	12.43	2.6	580	94.28	60.05	97.46	0.67	3.43	0.17
20006	100	98.46	8	43	6.3	0	26	3.2	9.2	2.59	1.44	16	6.6	12	1.82	2	2200	6.7	4	300	76.9	1.04	23	7.84	2.9	930	95.51	55.42	98.56	0.34	2.14	0.27
20007	99.07	98.42	8	41.4	6.2	0.03	25	3.5	9.2	6.82	3.21	17.7	6.64	12	2.09	3	2100	6.6	3.5	300	77.1	1.31	21.5	10.57	2.8	600	95.05	62.16	98.27	0.54	2.63	0.26
20008	98.77	98.53	8	42	6.3	0.04	22	3.5	9.34	0.59	1.36	10	1.78	10	1.28	2.8	2050	6.7	3	276	76.7	1.53	20	12.1	2.6	580	95.31	62.02	98.13	0.66	3.36	0.19
20009	98.62	98.54	8	40.5	6.3	0.04	29	3.3	9.4	0.4	1.39	12	2.7	10	0.88	2.5	2080	6.6	1	276	77	1.19	21	9.68	2.8	600	95.36	63.82	98.2	0.54	2.56	0.17
20010	99.09	98.53	8	41.5	6.3	0.05	28.5	3.5	9.1	0.92	1.79	10	3.09	10	1.32	3	2000	6.7	4	300	76.1	2.41	20	11.1	2.6	600	95.74	67.74	98.24	0.64	2.74	0.16
21001	100	99.44	8	41.9	6.3	0.19	24.5	3.8	9.09	0.1	1.24	12	3.37	10	0.09	3	2050	6.64	1	276	78.5	0.15	23	12.98	2.66	590	96.59	67.6	98.83	0.37	1.73	0.1
21002	99.52	98.71	8	42.4	6.1	0.04	26.5	3.5	9.5	1.45	1.26	12	3.1	12	1.75	2	2200	6.51	1	276	76.5	0.8	23	12.64	4.4	350	95.53	66.4	98.26	0.5	2.43	0.07
21003	99.07	98.68	8	42.1	6.2	0.18	26	3.5	9.3	0.13	0.59	15	3.64	10	1.79	3	2100	6.76	1	276	77.2	0.77	21	14.08	2.67	600	95.6	66.3	98.32	0.5	2.19	0.22
21004	98.73	98.69	8	43	5.8	0.07	24.5	3.5	9.45	4.04	2.17	16	0.74	10	1.79	2.5	2150	6.7	2	276	76.3	1.19	21	11.72	2.64	540	94.78	65.08	97.86	0.58	3.08	0.24
21005	99.21	98.61	8	42.25	6.3	0.08	28.5	3.3	9.1	0.33	1.34	16	4.67	10	2.1	2.5	2150	6.8	5	294	77.5	1.46	23	12.58	2.63	580	94.83	66.22	97.96	0.59	3.19	0.13
21006	99.6	98.19	8	39	6.2	0.03	24	3.1	9.15	5.24	2.61	12	3.43	12	2.85	2	2180	6.6	5	297.8	77.5	2.13	23	11.29	2.5	600	95.08	65.26	97.89	0.59	3.37	0.08
21007	98.72	98.22	8	41	6.3	0.06	32	3.6	9.1	0.17	1.17	14	4.12	10	2.77	2	2140	6.65	5	312	77.9	1.24	23	6.99	2.68	600	94.9	63.69	98.21	0.53	2.1	0.11
21008	98.85	98.21	8	4.4	6.3	0.04	25	3.6	9.15	0.51	1.09	14	2.81	10	2.86	2	2100	6.61	4.5	310	77	1.34	21	9.9	2.75	650	95.77	64.3	98.12	0.4	2.34	0.49
21009	99.7	97.76	8	42.2	6.3	0.44	24	3.5	9.35	0.06	0.45	12	3.3	10	2.24	2	2150	6.8	2.5	276	76.5	1.92	20	9.5	2.57	550	94.29	62.82	97.64	0.66	3.92	0.26
21010	99.57	97.78	9	43.25	6.3	0.1	25	3.5	9.21	0.52	0.81	14	3.52	10	1.73	2	2150	6.7	5	280	76.7	2.12	20	13.33	2.55	580	93.02	63.26	98.09	0.63	4.35	0.47
21011	99.54	97.97	11	38.4	6.3	0.43	26	3.5	9.3	7.57	3.15	14	3.65	10	1.52	3	2100	6.74	1	276	76.8	1.76	17	8.08	2.58	900	95.49	64.71	98.37	0.62	3	0.74
21012	99.06	98	8	39.9	6.3	0.12	23	3.5	9.5		0.12	10	2.37	10	2.67	3	2180	6.84	1	276	76.8	1.5	22	11.12	2.6	610	96.45	66.75	98.37	0.49	2	0.39
21013	99.15	97.93	4	43.4	5	0	27.5	3.5	9.2	2.16	1.28	12	2.61	10	3.34	2.5	2100	6.74	1	276	76.5	1.97	24	9.38	2.6	580	96.26	63.7	98.39	0.49	2.38	0.35
21014	99	97.53	8	42	6.3	0.07	23	3.5	9.3	0.03	0.02	12	3.29	12	2.11	2.5	2150	6.75	5	289	76.8	1.3	23	9.3	2.7	560	96.36	64.72	98.22	0.53	2.28	0.45
21015	99.03	97.46	8	39.8	6.3	0.18	19.5	3.5	9.6	4.07	1.68	16	3.88	10	1.8	3	2150	6.77	4.5	290	75.7	0.76	21	7.45	2.54	1000	95.61	59.59	98.03	0.48	2.22	0.51
21016	99.06	97.7	8	42.8	6.3	0.14	20	3.5	9.15	0.93	1.4	12	2.81	10	1.95	2.5	2050	6.67	4.5	294	76.4	0.61	18	8.75	2.8	600	96.94	65.91	98.41	0.42	1.85	0.61
21017	99.07	97.92	8	41.5	6.3	0.07	23	3.6	9.38	0.1	0.24	12	3.38	10	1.89	2.5	2100	6.85	5	300	76.3	0.69	22	8.84	2.6	600	97	65.15	98.6	0.38	1.78	0.51
