배치번호	입고 Lot	업체 Lot	"순도
(%)"	"투입량
(kg)"	"순수량
(kg)"
IKF23104	F230907008	CC2307231	92.08%	560	515.6
	F230907009	CC2307232	91.93%	840	772.2
	F230821008	CC2307216	92.20%	34.3	31.6
IKF23105	F230922003	CC2307217	92.05%	560	515.5
	F230922004	CC2307218	92.11%	840	773.7
	F230821008	CC2307216	92.20%	32.9	30.3
IKF23106	F230922005	CC2307219	92.17%	560	516.2
	F230922006	CC2307220	92.01%	840	772.9
	F230821008	CC2307216	92.20%	33	30.4
IKF23107	F230922007	CC2307221	92.11%	560	515.8
	F230922008	CC2307222	92.06%	840	773.3
	F230821008	CC2307216	92.20%	33	30.4
IKF23108	F230922009	CC2307223	92.04%	560	515.4
	F230922010	CC2307224	92.05%	840	773.2
	F230821008	CC2307216	92.20%	33.5	30.9
IKF23109	F230922011	CC2308233	92.15%	560	516.0
	F230922012	CC2308234	92.16%	840	774.1
	F230821008	CC2307216	92.20%	31.8	29.3
IKF23110	F230922013	CC2308235	92.15%	560	516.0
	F230922014	CC2308236	92.12%	840	773.8
	F230821008	CC2307216	92.20%	32.1	29.6
IKF23111	F230922015	CC2308237	92.06%	560	515.5
	F230922016	CC2308238	92.09%	840	773.6
	F230821008	CC2307216	92.20%	33	30.4
IKF23112	F230922017	CC2308239	92.11%	560	515.8
	F230922018	CC2308240	92.12%	840	773.8
	F230821008	CC2307216	92.20%	32.3	29.8
IKF23113	F231011001	CC2308241	92.22%	560	516.4
	F231011002	CC2308242	92.13%	840	773.9
	F230821008	CC2307216	92.20%	31.7	29.2
IKF23114	F231011003	CC2308243	92.08%	560	515.6
	F231011004	CC2308244	92.16%	840	774.1
	F230821008	CC2307216	92.20%	32.2	29.7
IKF23115	F231011005	CC2308245	92.10%	560	515.8
	F231011006	CC2308246	92.07%	840	773.4
	F230821008	CC2307216	92.20%	32.9	30.3
IKF23116	F231011007	CC2308247	92.05%	560	515.5
	F231011008	CC2308248	92.09%	840	773.6
	F230821008	CC2307216	92.20%	33	30.4
IKF23117	F231011009	CC2308249	92.11%	560	515.8
	F231011010	CC2308250	92.08%	840	773.5
	F230821008	CC2307216	92.20%	32.8	30.2
IKF23118	F231011011	CC2308251	92.09%	560	515.7
	F231011012	CC2308252	92.07%	840	773.4
	F230821008	CC2307216	92.20%	33	30.4
IKF23119	F231011013	CC2308253	92.15%	560	516.0
	F231011014	CC2308254	92.16%	840	774.1
	F230821008	CC2307216	92.20%	1	0.9
	F230821007	CC2307215	92.23%	30.8	28.4
IKF23120	F231011015	CC2308255	92.11%	560	515.8
	F231011016	CC2308256	92.10%	840	773.6
	F230821007	CC2307215	92.23%	32.6	30.1
IKF23121	F231019001	CC2308257	92.13%	560	515.9
	F231019002	CC2308258	92.25%	840	774.9
	F230821007	CC2307215	92.23%	31.1	28.7
IKF23122	F231019003	CC2308259	92.16%	560	516.1
	F231019004	CC2308260	92.06%	840	773.3
	F230821007	CC2307215	92.23%	32.6	30.1
IKF23123	F231019005	CC2308261	92.10%	560	515.8
	F231019006	CC2308262	92.14%	840	774.0
	F230821007	CC2307215	92.23%	32.3	29.8
IKF23124	F231019007	CC2308263	92.06%	560	515.5
	F231019008	CC2308264	92.11%	840	773.7
	F230821007	CC2307215	92.23%	32.8	30.3
IKF23125	F231019009	CC2308265	92.14%	560	516.0
	F231019010	CC2308266	92.12%	840	773.8
	F230821007	CC2307215	92.23%	32.2	29.7
IKF23126	F231019011	CC2308267	92.16%	560	516.1
	F231019012	CC2308268	92.19%	840	774.4
	F230821007	CC2307215	92.23%	31.5	29.1
IKF23127	F231019013	CC2308269	92.21%	560	516.4
	F231019014	CC2308270	92.17%	840	774.2
	F230821007	CC2307215	92.23%	31.3	28.9
IKF23128	F231019015	CC2308271	92.14%	560	516.0
	F231019016	CC2308272	92.17%	840	774.2
	F230821007	CC2307215	92.23%	31.8	29.3
IKF24001	F240215001	CC2309273	91.44%	560	512.1
	F240215002	CC2309274	91.46%	840	768.3
	F230821007	CC2307215	92.23%	42.5	39.2
IKF24002	F240215003	CC2309275	91.49%	560	512.3
	F240215004	CC2309276	91.54%	840	768.9
	F230821007	CC2307215	92.23%	41.4	38.2
IKF24003	F240215005	CC2309277	91.56%	560	512.7
	F240215006	CC2309278	92.11%	840	773.7
	F230821007	CC2307215	92.23%	35.8	33.0
IKF24004	F240215007	CC2309279	92.11%	560	515.8
	F240215008	CC2309280	92.13%	840	773.9
	F230821007	CC2307215	92.23%	32.3	29.8
IKF24005	F240215009	CC2309281	92.16%	560	516.1
	F240215010	CC2309282	92.08%	840	773.5
	F230821007	CC2307215	92.23%	32.4	29.9
IKF24006	F240215011	CC2309283	92.11%	560	515.8
	F240215012	CC2309284	92.05%	840	773.2
	F230821007	CC2307215	92.23%	33	30.4
IKF24007	F240215013	CC2309285	92.08%	560	515.6
	F240215014	CC2309286	92.10%	840	773.6
	F230821007	CC2307215	92.23%	23.6	21.8
	F240315015	CC2310303	91.97%	9.2	8.5
IKF24008	F240215015	CC2309287	92.11%	560	515.8
	F240215016	CC2309288	92.20%	840	774.5
	F240315015	CC2310303	91.97%	31.7	29.2
IKF24009	F240315001	CC2310289	92.08%	560	515.6
	F240315002	CC2310290	92.15%	840	774.1
	F240315015	CC2310303	91.97%	32.4	29.8
IKF24010	F240315003	CC2310291	92.17%	560	516.2
	F240315004	CC2310292	92.08%	840	773.5
	F240315015	CC2310303	91.97%	32.5	29.9
IKF24011	F240315005	CC2310293	92.06%	560	515.5
	F240315006	CC2310294	91.83%	840	771.4
	F240315015	CC2310303	91.97%	35.4	32.6
IKF24012	F240315007	CC2310295	92.08%	560	515.6
	F240315008	CC2310296	92.01%	840	772.9
	F240315015	CC2310303	91.97%	33.7	31.0
IKF24013	F240315009	CC2310297	92.12%	560	515.9
	F240315010	CC2310298	92.11%	840	773.7
	F240315015	CC2310303	91.97%	32.5	29.9
IKF24014	F240315011	CC2310299	92.09%	560	515.7
	F240315012	CC2310300	92.05%	840	773.2
	F240315015	CC2310303	91.97%	33.2	30.5
IKF24015	F240315013	CC2310301	92.02%	560	515.3
	F240315014	CC2310302	92.07%	840	773.4
	F240315015	CC2310303	91.97%	33.5	30.8
IKF24016	F240326002	CC2310305	91.96%	560	515.0
	F240326003	CC2310306	91.92%	840	772.1
	F240315015	CC2310303	91.97%	35.2	32.4
IKF24017	F240326004	CC2310307	91.97%	560	515.0
	F240326005	CC2310308	92.04%	840	773.1
	F240315015	CC2310303	91.97%	34.1	31.4
IKF24018	F240326006	CC2310309	92.04%	560	515.4
	F240326007	CC2310310	91.95%	840	772.4
	F240315015	CC2310303	91.97%	34.5	31.7
IKF24019	F240326008	CC2310311	92.04%	560	515.4
	F240326009	CC2310312	91.91%	840	772.0
	F240315015	CC2310303	91.97%	34.8	32.0
IKF24020	F240326010	CC2310313	92.07%	560	515.6
	F240326011	CC2310314	92.09%	840	773.6
	F240315015	CC2310303	91.97%	33	30.4
IKF24021	F240326012	CC2310315	92.21%	560	516.4
	F240326013	CC2310316	92.06%	840	773.3
	F240315015	CC2310303	91.97%	32.4	29.8
IKF24022	F240326014	CC2310317	91.98%	560	515.1
	F240326015	CC2310318	92.01%	840	772.9
	F240315015	CC2310303	91.97%	34.3	31.5
IKF24023	F240326016	CC2310319	92.05%	560	515.5
	F240326017	CC2310320	92.05%	840	773.2
	F240315015	CC2310303	91.97%	33.5	30.8
IKF24024	F240408006	CC2311321	92.04%	560	515.4
	F240408007	CC2311322	92.02%	840	773.0
	F240315015	CC2310303	91.97%	14.1	13.0
	F240315016	CC2310304	91.94%	19.7	18.1
IKF24025	F240408008	CC2311323	92.00%	560	515.2
	F240408009	CC2311324	92.03%	840	773.1
	F240315016	CC2310304	91.94%	34	31.3
IKF24026	F240408010	CC2311325	92.07%	560	515.6
	F240408011	CC2311326	92.02%	840	773.0
	F240315016	CC2310304	91.94%	33.7	31.0
IKF24027	F240408012	CC2311327	91.97%	560	515.0
	F240408013	CC2311328	91.98%	840	772.6
	F240315016	CC2310304	91.94%	34.6	31.8
IKF24028	F240408014	CC2311329	92.16%	560	516.1
	F240408015	CC2311330	92.17%	840	774.2
	F240315016	CC2310304	91.94%	31.7	29.1
IKF24029	F240408016	CC2311331	92.13%	560	515.9
	F240408017	CC2311332	92.15%	840	774.1
	F240315016	CC2310304	91.94%	32.1	29.5
IKF24030	F240408018	CC2311333	92.17%	560	516.2
	F240408019	CC2311334	92.08%	840	773.5
	F240315016	CC2310304	91.94%	32.5	29.9
IKF24031	F240408020	CC2311335	92.13%	560	515.9
	F240408021	CC2311336	92.24%	840	774.8
	F240315016	CC2310304	91.94%	31.3	28.8
IKF24032	F240425002	CC2311337	92.20%	560	516.3
	F240425003	CC2311338	92.24%	840	774.8
	F240315016	CC2310304	91.94%	30.8	28.3
IKF24033	F240425004	CC2311339	92.15%	560	516.0
	F240425005	CC2311340	92.18%	840	774.3
	F240315016	CC2310304	91.94%	31.7	29.1
IKF24034	F240425006	CC2311341	92.11%	560	515.8
	F240425007	CC2311342	92.17%	840	774.2
	F240315016	CC2310304	91.94%	32	29.4
IKF24035	F240425008	CC2311343	92.12%	560	515.9
	F240425009	CC2311344	92.06%	840	773.3
	F240315016	CC2310304	91.94%	33	30.3
IKF24036	F240425010	CC2311345	91.67%	560	513.4
	F240425011	CC2311346	91.63%	840	769.7
	F240315016	CC2310304	91.94%	39.7	36.5
IKF24037	F240425012	CC2311347	91.65%	560	513.2
	F240425013	CC2311348	91.64%	840	769.8
	F240315016	CC2310304	91.94%	39.7	36.5
IKF24038	F240425014	CC2311349	91.91%	560	514.7
	F240425015	CC2311350	91.92%	840	772.1
	F240315016	CC2310304	91.94%	35.5	32.6
IKF24039	F240425016	CC2311351	91.66%	560	513.3
	F240425017	CC2311352	91.67%	840	770.0
	F240315016	CC2310304	91.94%	39.3	36.1
IKF24040	F240508022	CC2311353	91.67%	560	513.4
	F240508023	CC2311354	91.93%	840	772.2
	F240315016	CC2310304	91.94%	36.9	33.9
IKF24041	F240508024	CC2311355	91.75%	560	513.8
	F240508025	CC2311356	91.95%	840	772.4
	F240315016	CC2310304	91.94%	36.2	33.3
IKF24042	F240508026	CC2311357	92.08%	560	515.6
	F240508027	CC2311358	92.08%	840	773.5
	F240315016	CC2310304	91.94%	33	30.3
IKF24043	F240508028	CC2311359	92.05%	560	515.5
	F240508029	CC2311360	92.11%	840	773.7
	F240315016	CC2310304	91.94%	33	30.3
IKF24044	F240508030	CC2311361	92.14%	560	516.0
	F240508031	CC2311362	91.62%	840	769.6
	F240315016	CC2310304	91.94%	36.9	33.9
IKF24045	F240508032	CC2311363	91.98%	560	515.1
	F240508033	CC2311364	91.65%	840	769.9
	F240315016	CC2310304	91.94%	37.6	34.6
IKF24046	F240508034	CC2311365	91.93%	560	514.8
