Batch No. 	EA증류/분석			IKF-916 반응 분석					RINSE					건조시간				포장		제품 분석				
	CCIM	IKF-916	ISO-916	반응시간	내부온도	CCIM	IKF-916	ISO-916	CCIM-AM	CCIM	IKF-916	ISO-916	3C	건조시간	내부온도	수분	MeOH	생산량	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C
IKF23104	6.7	70.7	22.6	05:00	75.936	3.3	88.9	7.8	0.23	0.54	98.02	0	0.98	10:00	46.277	0.08	0.16	1700	86.344	0.01	0.1	98.78	0	0.96
IKF23104				08:00	75.511	4.2	91.8	4																
IKF23104																								
IKF23104																								
IKF23104																								
IKF23105	8.7	72.6	18.7	05:00	78.292	5.2	88.8	6.1	0.27	0.59	98.05	0	0.89	10:00	47.844	0.16	0.19	1600	81.262	0.03	0.19	97.67	0	1.81
IKF23105				08:30	61.808	6.1	90.1	3.9						10:40	48.268	0.02								
IKF23105																								
IKF23105																								
IKF23105																								
IKF23106	9.8	70	20.2	05:00	73.466	2.5	88.4	9.1	0.37	0.77	97.49	0	1.05	11:40	34.374	0.35	5.3	1800	91.425	0.01	0.11	98.68	0	1.05
IKF23106				06:30	74.593	2.9	90.6	6.5						16:00	28.124	0.08	0.2							
IKF23106				07:30	74.71	3.3	91.6	5.1																
IKF23106																								
IKF23106																								
IKF23107	9.3	70.1	20.6	05:00	75.34	4.4	88.5	7.2	0.51	0.12	97.98	0.15	1.03	09:00	38.383	0.08	0.05	1800	91.419	0.02	0.06	98.81	0	0.96
IKF23107				06:30	76.399	4.8	90.6	4.6																
IKF23107																								
IKF23107																								
IKF23107																								
IKF23108	6.8	77.2	16	05:00	75.345	3.5	89.8	6.6	0.19	0.58	98.05	0	0.94	09:00	37.456	0.13	0.09	1700	86.341	0.19	0.94	98.05	0	0.94
IKF23108				06:20	75.048	4.1	91.2	4.7						10:00	44.47	0.03								
IKF23108																								
IKF23108																								
IKF23108																								
IKF23109	9.1	73	17.8	05:00	78.192	4.9	88.8	6.4	0.19	0.2	98.43	0.12	0.9	09:00	45.693	0.04	0.03	1800	91.422	0.01	0.09	98.91	0	0.86
IKF23109				06:20	76.858	6.2	89.1	4.7																
IKF23109																								
IKF23109																								
IKF23109																								
IKF23110	8.1	74.5	17.4	05:00	76.624	4.8	88.5	6.7	0.29	0.46	98.17	0	0.89	09:00	46.902	0.13	0.06	1700	86.347	0.01	0.08	98.87	0	0.89
IKF23110				06:20	77.294	5.6	89.6	4.8						10:00	46.753	0.02								
IKF23110																								
IKF23110																								
IKF23110																								
IKF23111	9.5	71.5	19	05:00	78.277	5.6	88.4	6	0.28	0.38	98.3	0	0.87	09:00	49.334	0.09	0.03	1700	86.342	0.01	0.08	98.94	0	0.84
IKF23111				06:00	77.859	6.5	88.6	4.9																
IKF23111																								
IKF23111																								
IKF23111																								
IKF23112	8.2	71	20.8	05:00	78.027	4.1	88.7	7.3	0.2	0.47	98.2	0.01	0.91	09:00	44.762	0.09	0.04	1700	86.35	0.01	0.08	98.87	0	0.89
IKF23112				06:20	77.486	5.7	89.1	5.3																
IKF23112																								
IKF23112																								
IKF23112																								
IKF23113	6.67	56.87	31.16	05:00	77.747	2.1	87.7	10.2	0.21	0.4	98.05	0	1.07	09:00	38.76	0.1	0.06	1800	91.419	0.02	0.09	98.67	0	1.08
IKF23113				07:00	76.621	3	91.6	5.4																
IKF23113																								
IKF23113																								
IKF23113																								
IKF23114	5.6	68.9	25.5	05:00	77.772	1.1	86.9	12.9	0.21	0.67	97.8	0	1.06	09:00	43.586	0.08	0.05	1800	91.424	0.01	0.11	98.73	0	1.04
IKF23114				07:30	76.593	2.2	89.4	8.3																
IKF23114				08:30	75.596	2.4	91.5	6.1																
IKF23114				09:30	75.321	2.7	92.1	5.2																
IKF23114																								
IKF23115	6	71	22.9	01:30	77.636	6	71	22.9	0.17	0.63	97.9	0	1.09	10:00	45.157	0.04	0.11	1800	91.424	0	0.12	98.69	0	1.06
IKF23115				05:00	78.136	1.4	87.8	10.8																
IKF23115				07:30	74.581	2.9	90.2	6.8																
IKF23115				08:30	77.87	3.2	91.7	5.1																
IKF23115																								
IKF23116	4.7	73.3	21.9	05:00	78.18	1.6	86.8	11.6	0.3	0.69	97.68	0	1.06	09:00	44.564	0.02	0.11	1900	96.504	0.01	0.11	98.63	0	1.08
IKF23116				07:30	74.177	2.3	91.1	6.6																
IKF23116				08:30	74.271	2.8	92	5.2																
IKF23116				09:30	74.295	2.9	92.8	4.3																
IKF23116																								
IKF23117	7.4	63.2	29.5	05:00	77.582	2	87.8	10.2	0.28	0.7	97.63	0	1.07	09:00	45.005	0.08	0.26	1800	91.42	0.01	0.13	98.61	0	1.09
IKF23117				07:30	75.343	2.8	92.4	4.8																
IKF23117																								
IKF23117																								
IKF23117																								
IKF23118	6	77.8	16.2	05:00	78.673	2.3	90.2	7.6	0.25	0.66	97.8	0	0.98	09:00	43.281			1800	91.421	0.01	0.11	98.69	0	1.02
IKF23118				07:00	75.782	3.4	91.9	4.7																
IKF23118																								
IKF23118																								
IKF23118																								
IKF23119	7.8	71.3	20.9	05:00	77.888	3.5	88.6	7.9	0.12	0.65	98.06	0	0.96	09:00	44.725	0.01	0.11	1700	86.342	0.01	0.09	98.82	0	0.93
IKF23119				07:00	76.018	4.3	91.6	4.1																
IKF23119																								
IKF23120	4.9	79.1	16	05:00	76.734	2.8	88	10.1	0.3	0.85	97.66	0	1.02	09:00	44.098	0.04	0.13	1800	91.421	0.01	0.1	98.74	0	1
IKF23120				07:30	74.849	2.8	92.7	4.5																
IKF23120																								
IKF23120																								
IKF23120																								
IKF23120																								
IKF23121	5.6	75.2	19.2	05:00	76.987	1.4	87.5	11.1	0.24	0.65	97.78	0	1.1	09:00	45.843	0.03	0.06	1800	91.422	0.02	0.09	98.66	0	1.07
IKF23121				06:30	75.03	2	88.9	9.1																
IKF23121				07:30	74.629	2.4	89.9	7.7																
IKF23121				08:30	74.232	2.2	93.1	4.7																
IKF23121																								
IKF23121																								
IKF23122	5.9	72.3	21.8	05:00	77.539	1.9	87.9	10.2	0.2	0.65	97.89	0	1.03	09:00	42.63	0.1	0	1800	91.425	0.01	0.1	98.71	0	1.06
IKF23122				07:30	75.552	3.2	90.8	6																
IKF23122				08:10	75.102	3.1	92.3	4.6																
IKF23122																								
IKF23122																								
IKF23122																								
IKF23123	7.6	74	18.5	05:00	75.396	3	87.7	9.3	0.27	0.8	97.65	0	1.01	09:00	48.697	0.05	0.15	1800	91.421	0.02	0.1	98.71	0	1.03
IKF23123				07:00	75.748	3.5	91.8	4.6																
IKF23123																								
IKF23123																								
IKF23123																								
IKF23123																								
IKF23124	4.6	72.3	23.1	05:00	75.54	1	15.3	83.7	0.24	0.76	97.56	0	1.09	09:00	47.7	0.1	0.1	1800	91.422	0.02	0.13	98.56	0.11	1.15
IKF23124				07:30	74.353	1.4	9.9	88.8																
IKF23124				09:30	74.274	2	7.6	90.4																
IKF23124				11:00	74.162	2.5	5.8	91.8																
IKF23124				12:00	74.681	2.6	4.6	92.8																
IKF23124																								
IKF23125	5.8	74	20.2	05:00	76.184	1.9	88.3	9.9	0.21	0.51	97.83	0	1.09	09:00	49.588	0.15	0.23	1800	91.423	0.02	0.02	98.5	0	1.1
IKF23125				07:00	75.29	2.2	91.8	6						10:00	46.093	0.04								
IKF23125				07:30	75.245	2.4	92.5	5.1																
IKF23125																								
IKF23125																								
IKF23125																								
IKF23126	4.6	74.7	20.7	05:00	77.485	1.3	87.8	10.9	0.18	0.53	98.02	0	1.04	09:00	44.898	0.09	0.17	1800	91.419	0.02	0.1	98.7	0	1.06
IKF23126				07:00	76.726	2.1	91.7	6.2																
IKF23126				08:00	76.652	2.4	92.7	4.8																
IKF23126																								
