배치번호	반응/증류/결정화/포장								반응/증류/결정화/포장							반응/증류/결정화/포장										반응/증류/결정화/포장			반응/증류/결정화/포장						반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장		반응/증류/결정화/포장														반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장												
	원료투입								승온/DMSC 적가							EA증류/분석										EA증류/반응/샘플링			원료투입						Reflux/이송									결정화	여과		RINSE1														RINSE2									건조	포장												
	투입량[K2CO3(P)]	원료 투입 시작	투입량[EtOAc]	투입량[D-EA]	CCIM 투입량 합계[CCIM]	CCIM 순수량 합계	CCIM 평균 순도	원료 투입 시간	승온 시간	Reflux 시간	적가 시작 내부온도	DMSC 투입량 합계[DMSC]	Taverage	적가 종료 내부온도	DMSC 적가 시간	투입량[EtOAc]	투입량[D-EA]	EA 상압증류 시간	샘플링 시각	CCIM	IKF-916	ISO-916	투입량[K2CO3(P)]	DMSC 투입량 합계[DMSC]	원료 투입 시간	EA 진공증류 시간	반응/샘플링 시간	Sub total 시간	원료 투입 시작 내부온도	투입량[D-EA]	투입량[EtOAc]	투입량[H2O]	원료 투입 종료 내부온도	원료 투입 시간	승온 시작 내부온도	승온 시간	Reflux 시작 내부온도	Reflux 시간	CW 냉각 시작 내부온도	CW 냉각 시간	이송 시작 내부온도	이송 시간	Sub total 시간	BR 냉각 시간	투입량[H2O]	여과/탈액 시간	투입량[H2O]	1차 H2O Rinse 시간	투입량[H2O]	2차 H2O Rinse 시간	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	MeOH Rinse 시간	CCIM-AM	CCIM	IKF-916	ISO-916	3C	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	Repulping 시간	투입량[D-MeOH]	투입량[MeOH]	MeOH Rinse 시간	Sub total 시간	건조 시간	이전 Batch 잔량	총 포장량	NET 수량	현 Batch 잔량	현 Batch 생산량	포장 시간	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C	Total 시간
IKF23104	950.0	2023-10-04 14:30	200.0	2,440.0	1,434.3	1,319.485	91.995	00:30	01:00	01:00	82.3	1,000.0	81.8	79.9	00:30	500.0		01:00	2023-10-04 19:00	6.7	70.7	22.6		83.0	00:10	02:40	03:50	11:10	65.2	1,070.0		2,800.0	34.4	00:40	34.6	01:00	69.7	01:00	71.9	03:30	35.2	00:30	06:40	04:00	800.0	02:30	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:30	0.23	0.54	98.02	0.0	0.98	2,930.0		4.2		01:20		1,300.0	02:00	09:20	11:00		1,700.0	1,700.0		1,700.0	01:00	86.344	0.01	0.1	98.78	0.0	0.96	43:10
IKF23105	950.0	2023-10-06 14:10		2,640.0	1,432.9	1,319.538	92.089	00:50	01:00	01:00	83.1	1,000.0	78.7	75.5	00:30		500.0	01:00	2023-10-06 19:00	8.7	72.6	18.7		83.0	00:10	02:40	03:30	11:00	61.8	1,070.0		2,800.0	40.2	00:50	39.7	01:00	71.6	01:10	71.7	03:00	37.7	01:10	07:10	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:40	1,040.0		38.0		01:20	0.27	0.59	98.05	0.0	0.89	2,930.0		4.2		01:30		1,300.0	02:00	09:30	11:00		1,600.0	1,600.0		1,600.0	00:40	81.262	0.03	0.19	97.67	0.0	1.81	41:20
IKF23106	950.0	2023-10-09 14:30		2,640.0	1,433.0	1,319.462	92.077	00:30	01:00	01:00	83.2	1,000.0	81.1	79.3	00:30	500.0		01:30	2023-10-09 19:00	9.8	70.0	20.2		83.0	00:20	02:30	03:15	10:55	74.7	1,070.0		3,000.0	33.1	00:30	34.4	01:05	68.1	01:00	71.8	03:45	39.2	00:40	07:00	02:10	800.0	01:40	2,000.0	01:30	2,000.0	01:30	1,040.0		38.0		01:00	0.37	0.77	97.49	0.0	1.05	2,930.0		4.2		02:00		1,300.0	02:00	09:40	17:30		1,800.0	1,800.0		1,800.0	01:00	91.425	0.01	0.11	98.68	0.0	1.05	48:15
IKF23107	950.0	2023-10-10 14:30		2,640.0	1,433.0	1,319.546	92.083	00:30	01:00	01:00	82.4	1,000.0	79.2	78.9	00:30	500.0		01:30	2023-10-10 19:00	9.3	70.1	20.6		83.0	00:20	02:30	02:20	10:10	62.2	1,070.0		3,000.0	32.8	00:40	32.7	01:10	69.1	01:00	72.9	04:20	42.2	00:50	08:00	10:20	800.0	02:10	2,000.0	03:00	2,000.0	02:00	1,040.0		38.0		01:00	0.51	0.12	97.98	0.15	1.03	2,930.0		8.4		02:20		1,300.0	02:00	12:30	09:00		1,800.0	1,800.0		1,800.0	00:30	91.419	0.02	0.06	98.81	0.0	0.96	50:30
IKF23108	950.0	2023-10-12 14:30		2,640.0	1,433.5	1,319.531	92.05	00:30	01:00	01:00	83.9	1,000.0	82.2	79.4	00:30	500.0		01:30	2023-10-12 19:00	6.8	77.2	16.0		83.0	00:20	02:30	02:10	09:50	74.7	1,070.0		3,000.0	32.6	00:50	32.6	01:00	69.4	01:00	72.7	04:10	40.8	01:00	08:00	02:10	800.0	02:00	2,000.0	01:30	2,000.0	01:30	1,040.0		38.0		01:00	0.19	0.58	98.05	0.0	0.94		2,930.0	4.2		02:00		1,300.0	02:00	10:00	10:00		1,700.0	1,700.0		1,700.0	01:00	86.341	0.19	0.94	98.05	0.0	0.94	41:00
IKF23109	950.0	2023-10-15 14:20	100.0	2,540.0	1,431.8	1,319.504	92.157	00:40	01:00	01:00	82.2	1,000.0	80.0	76.5	00:30	500.0		01:30	2023-10-15 19:00	9.1	73.0	17.8		83.0	00:10	02:30	02:00	09:50	76.4	1,070.0		3,000.0	40.5	00:40	44.3	01:00	66.4	01:00	70.9	04:40	41.9	01:00	08:20	04:20	800.0	01:00	2,000.0	01:40	2,000.0	01:30	1,040.0		38.0		01:00	0.19	0.2	98.43	0.12	0.9	2,930.0		4.2		00:30		1,300.0	03:50	09:30	09:00		1,800.0	1,800.0		1,800.0	01:00	91.422	0.01	0.09	98.91	0.0	0.86	42:00
IKF23110	950.0	2023-10-16 14:30	200.0	2,440.0	1,432.1	1,319.444	92.134	00:30	01:00	01:00	82.2	1,000.0	80.1	77.4	00:30	500.0		01:30	2023-10-16 19:00	8.1	74.5	17.4		83.0	00:10	02:30	02:00	09:40	76.8	1,070.0		3,000.0	65.5	00:30	32.1	01:00	67.7	01:00	71.3	04:40	39.9	01:10	08:20	01:00	800.0	01:40	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.29	0.46	98.17	0.0	0.89	2,930.0		4.5		01:20		1,300.0	02:30	09:00	10:00		1,700.0	1,700.0		1,700.0	01:00	86.347	0.01	0.08	98.87	0.0	0.89	39:00
IKF23111	950.0	2023-10-17 14:30		2,640.0	1,433.0	1,319.518	92.081	00:30	01:00	01:00	82.2	1,000.0	80.0	76.5	00:30	500.0		01:30	2023-10-17 19:00	9.5	71.5	19.0		84.0	00:10	02:30	01:40	09:20	77.4	1,070.0		3,000.0	32.5	00:40	33.1	01:10	68.4	01:00	71.3	04:40	40.6	00:50	08:20	04:30	800.0	01:40	2,000.0	01:30	2,000.0	01:30	1,040.0		38.0		01:00	0.28	0.38	98.3	0.0	0.87	2,930.0		4.2		01:30		1,300.0	02:00	09:10	09:00		1,700.0	1,700.0		1,700.0	01:00	86.342	0.01	0.08	98.94	0.0	0.84	41:20
IKF23112	950.0	2023-10-18 14:20		2,640.0	1,432.3	1,319.405	92.118	00:40	01:00	01:00	82.5	1,000.0	81.1	77.1	00:30	500.0		01:30	2023-10-18 19:00	8.2	71.0	20.8		83.0	00:10	02:30	02:00	09:50	77.2	1,070.0		3,000.0	64.1	00:30	65.8	01:00	64.2	01:00	71.1	04:40	40.7	00:50	08:00	04:20	800.0	01:40	2,000.0	01:30	2,000.0	01:30	1,040.0		38.0		01:00	0.2	0.47	98.2	0.01	0.91	2,930.0		4.2		01:30		1,300.0	02:30	09:40	08:00		1,700.0	1,700.0		1,700.0	01:00	86.35	0.01	0.08	98.87	0.0	0.89	40:50
