사업영역,사업영역명,코스트센터,코스트센터명,자산클래스,자산클래스명,자산번호,구자산번호,고정자산명,주요자산번호 텍스트,설비번호/차량번호,내용연수(년),수량,단위,취득일자,취득가 전기,취득가 증감,취득가 잔액,충당금 전기,충당금 증감,충당금 잔액,당기상각액,당월상각비,장부가액,상각한도,상각율
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140163165,140000431,표준분동,WE-GL-101,,1,18.000,EA,2001-03-25,119000,0,119000,118000,0,118000,0,0,1000,119000,100.0
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140164866,140002907,Validator,LE-GL-100,,1,1.000,EA,2004-12-31,861000,0,861000,860000,0,860000,0,0,1000,861000,100.0
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140164895,140002941,노트북(LE-GL-100공정용),HP-LE-GL-100,,1,1.000,EA,2005-02-28,21000,0,21000,20000,0,20000,0,0,1000,21000,100.0
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140165061,140003128,Tank(50LGPO),TK-GL-001~0201대 -Line사용,,1,21.000,EA,2005-07-31,572000,0,572000,571000,0,571000,0,0,1000,572000,100.0
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166463,140004902,Wireless Validator(무선 밸리데이터),LE-Z-001,,1,1.000,EA,2011-06-30,19987000,0,19987000,19986000,0,19986000,0,0,1000,19987000,100.0
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166701,140005164,훈증멸균장비(HPV),훈증멸균장비(HPV),,1,1,SET,2012-03-31,30805000,0,30805000,30804000,0,30804000,0,0,1000,30805000,85.7
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166914,140005387,Particle Counter1,LZ-IL-111,,2,2,SET,2013-01-31,10640000,0,10640000,10639000,0,10639000,0,0,1000,10640000,50.0
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140166915,140005388,Air Sampler1,Air Sampler1,,2,1,SET,2013-01-31,2312000,0,2312000,2311000,0,2311000,0,0,1000,2312000,50.0
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140168937,140007469,무선밸리데이터,LE-Z-003,,5,1.000,EA,2016-03-31,15414000,0,15414000,8950065,2734742,11684807,2734742,248613,3729193,15414000,19.3
7500,의약 익산공장,J62311,익.의)완제생산팀,1415,기계장치-화학전지광6,140169117,140007652,모니터링센서,모니터링센서,,5,2,SET,2016-09-30,8739000,0,8739000,4626528,1413662,6040190,1413662,128515,2698810,8739000,17.6
