거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
"37,200",2009,2019,태평2길,00022,00000,45111,01,0,4598368,태평동,0291,0000,45111,11900,1,전주태평SKVIEW,1,2,45111-517,122.341,291,45111,12,,
"39,500",2009,2019,태평2길,00022,00000,45111,01,0,4598368,태평동,0291,0000,45111,11900,1,전주태평SKVIEW,1,4,45111-517,122.341,291,45111,8,,
"46,500",2009,2019,태평2길,00022,00000,45111,01,0,4598368,태평동,0291,0000,45111,11900,1,전주태평SKVIEW,1,4,45111-517,135.6783,291,45111,13,,
"19,700",2005,2019,인봉남로,00056,00000,45111,01,0,3266058,중노송동,0303,0000,45111,12000,1,우성해오름,1,18,45111-456,81.2168,303,45111,11,,
"28,000",2018,2019,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,1,23,,84.9704,797,45111,8,,
"13,050",2002,2019,따박골7길,00022,00000,45111,01,0,4598089,서완산동2가,0341,0001,45111,12400,1,대풍한마을,1,2,45111-130,59.989,341-1,45111,10,,
"12,350",2002,2019,따박골7길,00022,00000,45111,01,0,4598089,서완산동2가,0341,0001,45111,12400,1,대풍한마을,1,31,45111-130,59.989,341-1,45111,3,,
"8,000",2004,2019,남고산성1길,00019,00000,45111,01,0,4598065,동서학동,0840,0002,45111,12500,1,푸른숲빌라A동,1,10,45111-204,83.773,840-2,45111,3,,
"17,000",1993,2019,장승배기로,00398,00000,45111,01,0,3266063,동서학동,0290,0003,45111,12500,1,거산황궁맨션,1,23,45111-3,192.98,290-3,45111,1,,
"4,000",1992,2019,학봉2길,00018,00000,45111,00,0,4598404,동서학동,0271,0005,45111,12500,1,대산신천지,1,23,45111-5,59.95,271-5,45111,3,,
"10,800",1993,2019,학봉2길,00011,00000,45111,01,0,4598404,동서학동,0279,0004,45111,12500,1,진흥하이츠,1,26,45111-7,84.36,279-4,45111,8,,
"4,900",1992,2019,학봉2길,00018,00000,45111,00,0,4598404,동서학동,0271,0005,45111,12500,1,대산신천지,1,28,45111-5,59.95,271-5,45111,4,,
"4,600",1986,2019,장승배기4길,00020,00007,45111,01,0,4598312,서서학동,0370,0038,45111,12600,1,성결,1,10,45111-13,54.72,370-38,45111,2,,
"10,400",2000,2019,덕적골3길,00017,00000,45111,01,0,4598080,서서학동,0318,0010,45111,12600,1,광진산업,1,12,45111-164,59.0547,318-10,45111,3,,
"8,700",2000,2019,덕적골3길,00017,00000,45111,01,0,4598080,서서학동,0318,0010,45111,12600,1,광진산업,1,14,45111-164,59.0547,318-10,45111,1,,
"3,500",1986,2019,장승배기4길,00020,00007,45111,01,0,4598312,서서학동,0370,0038,45111,12600,1,성결,1,18,45111-13,58.86,370-38,45111,1,,
"7,700",1998,2019,흑석로,00053,00000,45111,01,0,3266088,서서학동,0977,0001,45111,12600,1,푸른맨션,1,23,45111-10,60,977-1,45111,5,,
"6,200",1991,2019,흑석1길,00056,00000,45111,01,0,4598449,서서학동,0978,0001,45111,12600,1,송원(3),1,26,45111-205,59.88,978-1,45111,3,,
"14,200",1993,2019,선너머로,00040,00000,45111,02,0,3266037,중화산동1가,0223,0002,45111,12700,1,거성근영(1),1,3,45111-139,84.8,223-2,45111,4,,
