,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"57,000",2009,2020,태평2길,00022,00000,45111,01,0,4598368,태평동,0291,0000,45111,11900,1,전주태평SKVIEW,12,12,45111-517,189.7902,291,45111,5,,
1,"22,500",2005,2020,인봉남로,00056,00000,45111,01,0,3266058,중노송동,0303,0000,45111,12000,1,우성해오름,12,1,45111-456,136.0687,303,45111,4,,
2,"33,000",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,4,,84.9704,797,45111,5,,
3,"11,000",1993,2020,견훤로,00100,00000,45111,02,0,3266009,중노송동,0026,0001,45111,12000,1,기린봉,12,8,45111-131,84.94,26-1,45111,4,,
4,"22,200",2005,2020,인봉남로,00056,00000,45111,01,0,3266058,중노송동,0303,0000,45111,12000,1,우성해오름,12,8,45111-456,100.0362,303,45111,14,,
5,"22,000",2005,2020,인봉남로,00056,00000,45111,01,0,3266058,중노송동,0303,0000,45111,12000,1,우성해오름,12,10,45111-456,136.0687,303,45111,4,,
6,"32,700",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,10,,84.9811,797,45111,19,,
7,"35,000",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,12,,84.9704,797,45111,14,,
8,"48,500",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,12,,103.7953,797,45111,15,,
9,"35,250",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,16,,84.9811,797,45111,10,,
10,"27,000",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,16,,72.3214,797,45111,5,,
11,"27,000",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,16,,72.3214,797,45111,5,20.12.29,O
12,"32,600",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,18,,84.9811,797,45111,4,,
13,"30,000",2018,2020,견훤왕궁1길,00010,00000,45111,00,0,4598017,중노송동,0797,0000,45111,12000,1,한옥마을서해그랑블,12,21,,84.9811,797,45111,13,21.01.21,O
14,"12,450",2005,2020,인봉남로,00056,00000,45111,01,0,3266058,중노송동,0303,0000,45111,12000,1,우성해오름,12,25,45111-456,58.5516,303,45111,2,,
15,"11,000",1993,2020,견훤로,00100,00000,45111,02,0,3266009,중노송동,0026,0001,45111,12000,1,기린봉,12,26,45111-131,84.94,26-1,45111,1,,
16,"13,350",2005,2020,인봉남로,00056,00000,45111,01,0,3266058,중노송동,0303,0000,45111,12000,1,우성해오름,12,26,45111-456,58.5516,303,45111,12,,
17,"11,000",1993,2020,견훤로,00100,00000,45111,02,0,3266009,중노송동,0026,0001,45111,12000,1,기린봉,12,29,45111-131,84.94,26-1,45111,15,,
18,"10,500",2002,2020,따박골7길,00022,00000,45111,01,0,4598089,서완산동2가,0341,0001,45111,12400,1,대풍한마을,12,10,45111-130,59.989,341-1,45111,10,,
19,"32,000",2008,2020,안행로,00150,00000,45111,02,0,3266048,서완산동2가,0335,0000,45111,12400,1,오페라하우스,12,10,45111-504,130.8082,335,45111,8,,
20,"33,500",2008,2020,안행로,00150,00000,45111,02,0,3266048,서완산동2가,0335,0000,45111,12400,1,오페라하우스,12,11,45111-504,130.8082,335,45111,3,,
21,"12,500",2002,2020,따박골7길,00022,00000,45111,01,0,4598089,서완산동2가,0341,0001,45111,12400,1,대풍한마을,12,28,45111-130,59.989,341-1,45111,4,,
22,"5,100",1985,2020,강당2길,00014,00000,45111,03,0,4598009,서완산동2가,0080,0135,45111,12400,1,"낙원맨션가,나,다동",12,29,45111-128,79.515,80-135,45111,3,,
23,"10,200",1993,2020,학봉2길,00011,00000,45111,01,0,4598404,동서학동,0279,0004,45111,12500,1,진흥하이츠,12,11,45111-7,84.36,279-4,45111,5,,
24,"6,300",1993,2020,학봉2길,00011,00000,45111,01,0,4598404,동서학동,0279,0004,45111,12500,1,진흥하이츠,12,12,45111-7,59.4,279-4,45111,20,,
25,"19,000",1993,2020,장승배기로,00398,00000,45111,01,0,3266063,동서학동,0290,0003,45111,12500,1,거산황궁맨션,12,16,45111-3,192.98,290-3,45111,13,,
26,"13,000",1993,2020,장승배기로,00398,00000,45111,01,0,3266063,동서학동,0290,0003,45111,12500,1,거산황궁맨션,12,19,45111-3,84.91,290-3,45111,9,,
27,"4,550",1992,2020,학봉2길,00018,00000,45111,00,0,4598404,동서학동,0271,0005,45111,12500,1,대산신천지,12,23,45111-5,59.95,271-5,45111,4,,
28,"11,000",1993,2020,장승배기로,00398,00000,45111,01,0,3266063,동서학동,0290,0003,45111,12500,1,거산황궁맨션,12,28,45111-3,84.91,290-3,45111,12,,
29,"15,950",1993,2020,장승배기로,00398,00000,45111,01,0,3266063,동서학동,0290,0003,45111,12500,1,거산황궁맨션,12,29,45111-3,133.095,290-3,45111,1,,
30,"7,900",2000,2020,덕적골3길,00017,00000,45111,01,0,4598080,서서학동,0318,0010,45111,12600,1,광진산업,12,5,45111-164,59.5213,318-10,45111,4,,
31,"7,900",2000,2020,덕적골3길,00017,00000,45111,01,0,4598080,서서학동,0318,0010,45111,12600,1,광진산업,12,5,45111-164,59.5213,318-10,45111,4,21.04.05,O
32,"3,500",1997,2020,흑석로,00064,00000,45111,01,0,3266088,서서학동,0983,0002,45111,12600,1,신세계블루타운,12,7,45111-167,38.88,983-2,45111,10,,
33,"6,000",1998,2020,흑석로,00053,00000,45111,01,0,3266088,서서학동,0977,0001,45111,12600,1,푸른맨션,12,11,45111-10,60,977-1,45111,4,,
34,"6,200",1993,2020,흑석1길,00088,00000,45111,00,0,4598449,서서학동,0978,0006,45111,12600,1,대아청산,12,15,45111-11,59.97,978-6,45111,5,,
35,"4,000",2000,2020,흑석1길,00085,00000,45111,00,0,4598449,서서학동,0985,0001,45111,12600,1,효성흑석마을,12,28,45111-168,39.2365,985-1,45111,7,,
36,"13,000",1995,2020,선너머2길,00002,00007,45111,01,0,4598206,중화산동1가,0250,0000,45111,12700,1,동신2차,12,1,45111-134,119.76,250,45111,14,,
37,"8,000",1995,2020,서원로,00386,00000,45111,01,0,3266035,중화산동1가,0154,0000,45111,12700,1,중화산동신일,12,1,45111-135,60,154,45111,11,,
