Year,Month,Code,Name,Unit,Finished,Substance_1,Substance_2,Complex,QC,Supporting
21,7,100130,디메티콘 유제 35% 자가,g,,,,,,
21,7,105521,TSB(Non animal origin) 자가,BT,,,,,,
21,7,105944,20L Glass bottle(screw),EA,,,,,,
21,7,105996,멸균백1200*1200mm,EA,,,,,,
21,7,105998,멸균백400*500mm,EA,,200,100,,,
21,7,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,,,,,,
21,7,300006,퐁퐁,EA,,,6,,,
21,7,300009,Sartofluor GA 10',EA,,5,1,,,
21,7,300010,Sartofluor GA 20',EA,,,,,,
21,7,300011,Sartofluor Mini,EA,,,10,,,
21,7,302000,수산화나트륨(퀴놀론1KG),kg,,,,71.942,,
21,7,LMSM00007C,수산화나트륨 자가 (1kg),kg,19.985,,,,,
21,7,302060,AGP Solution Kit,EA,,,,,,
21,7,302101,5mL PC Validation Vial,EA,,,,,920,920
21,7,302102,Autoclave Indicator. Sigmaware,EA,,,,,,
21,7,302103,Hi Temperature Indicator(Shamrock)(건열),EA,,,,,,
21,7,302104,Chemical Indicator 1250 (3M),EA,,,,,,
21,7,302109,락스 (럭키),EA,,,5,,,
21,7,302122,염화나트륨(수지 재생용) 자가,kg,,,,,,
21,7,302123,펌프 튜빙(Masterflex L/S 16),EA,,,,,,
21,7,302124,펌프 튜빙(Masterflex L/S 17),EA,,,,,,
21,7,302125,펌프 튜빙(Masterflex L/S 18),EA,,,,,,
21,7,302126,펌프 튜빙(Masterflex L/S 24),EA,,,,,,
21,7,302127,펌프 튜빙(Masterflex I/P 73),EA,,,,,,
21,7,302128,펌프 튜빙(Masterflex I/P 82),EA,,2,3,,,
21,7,302143,Endotoxin Indicator(Endosafe) 자가,EA,,,,,,
21,7,302161,Durapore 필터(SCGVU11RE),EA,,4,,,,
21,7,302170,아세톤 자가,mL ,,,,,,
21,7,302171,Optiseal 필터(LAGR04TP6),EA,,,,,,
21,7,302210,펌프 튜빙(NALGENE 8060-0200),EA,1,,,,,
21,7,302212,펌프 튜빙(NALGENE 8060-0100),EA,,,,,,
21,7,302213,펌프 튜빙(NALGENE 8060-0060),EA,,,,,,
21,7,302214,펌프 튜빙(NALGENE 8060-0040),EA,1,,,,,
21,7,302250,필터 (PUY2UY300H),EA,,,,,,
21,7,302251,필터 (PUY2UY100H),EA,,,,,,
21,7,302256,필터 (PUY1UY400J),EA,,,,,,
21,7,302259,필터 (AB1PFA7PVH4),EA,,,,,,
21,7,302260,필터 (AB3NFZ7PH4),EA,,,,,,
21,7,302341,펌프 튜빙(Masterflex L/S 25),EA,,,,,,
21,7,302450,필터(SLK7002PFRP)(스팀필터),EA,3,,,,,
21,7,302451,필터(MCY4463PFRPVH4)(N2 필터),EA,1,,,,,
21,7,302452,필터(AB1CPFR7PVH4)(DIP 필터),EA,6,,,,,
21,7,302453,필터(CTGB71TP3)(스팀필터),EA,,,,,,
21,7,302481,구연산무수(99.5%이상),kg,,,,,,
21,7,302520,PFA Tubing(EW-06371-04),EA,5,,,,,
21,7,302521,PFA Tubing(RZ-06375-02),EA,4,,,,,
21,7,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,,,,,,
21,7,302572,Millex-FG Filter(MTGR85000),EA,,,,,,
21,7,302573,C-Flex Tubing(072-313-3),EA,,,,,,
21,7,302620,CTGR75S01 Millipore Filter,EA,2,,,,,
21,7,302621,KVGB04TC3 Milliporre Filter,EA,,,,,,
21,7,302622,CTGB72TP3 Millipore Filter,EA,,,,,,
21,7,302623,AB05PFR7PVH4 Pall Filter,EA,,,,,,
21,7,302690,액체 세제 (액츠 무진복 세탁용),EA,,,1,8,,
21,7,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,2,,,,,
21,7,302780,H2O2 for HPV,EA,10,,,,,
21,7,302880,Sartfluor GA,EA,5,,,,,
21,7,302881,Sartfluor junior,EA,,,,,,
21,7,302882,SP Sephadex C50 자가,g,,,,,,
21,7,303090,테크세제,EA,,,,,,
21,7,302841,72B/A4 Clean paper,EA,,,,,,
21,7,200522,화이버 드럼,EA,,,,24,,
21,7,106602,보위딕 테스트 팩(Terragene),EA,40,1,3,,,
21,7,302255,필터 (PFY2UY300J),EA,,,,,,
21,7,302571,Sartofluor Filter(5185307T8),EA,,,,,,
21,7,302151,Sartoclean CA 20',EA,,,,,,
21,7,302257,필터 (PFY1J012J),EA,,,,,,
21,7,302914,Sterile Filter(KA3EKVP10.2um),EA,,,,,,
21,7,300953,킴텍스(50×70×1),EA,,,,,,
21,7,302321,훈증액 MINNACARE COLD STERILANT,BT,,,,,,
21,7,302254,필터 (MBS1002RJH2),EA,,,,,,
21,7,103638,밀리팩200(MPGL2GCL3),EA,,,,,,
21,7,102141,SARTOBRAN P 10' Filter,EA,,,,,,
21,7,100351,Filter SARTOPURE PP2,EA,,,,,,
21,7,303031,DECON-SPORE 200 Plus(0.4%)472mL 자가,EA,26,3,4,,,
21,7,303034,Decon-cycle (Disinfectant)472mL 자가,EA,,4,,2,,
21,7,303038,DECON-SPORE200Plus(0.4% )Gallon siz자가,EA,20,,4,,,
21,7,303041,Decon-cycle(Disinfectant)Gallonsize자가,EA,24,2,2,,,
21,7,303036,70% IPA 472mL 자가,EA,96,32,34,2,,
21,7,303060,70% IPA Gallon size 자가,EA,10,,,,,
21,7,303033,5% Decon-spore (Sporicide)472mL 자가,EA,15,,,,,
21,7,303039,5% Decon-spore(Sporicide)Gallon size자가,EA,10,,,,,
21,7,303035,Hypo-chlor (Sporicide)472mL 자가,EA,,,,,,
21,7,303040,Hypo-chlor (Sporicide) Gallon size 자가,EA,,,,,,
21,7,303080,70% IPA Dispenser용(자동분무기용),EA,,,,,,
21,7,102990,Filter Unit 1L 자가(Bottle top),EA,23,,10,,,
21,7,100136,트립신에데트산나트륨,mL ,,,,,,
21,7,107225,멸균백 580*900mm,EA,,,,,,
21,7,106156,Opticap XL2 Capsule Filter(KGW6A02FF3),EA,,,,,,
21,6,100130,디메티콘 유제 35% 자가,g,,,,,,
