자재,자재내역,단위,년,월,팀,사용량
100130,디메티콘 유제 35%, 자가,g,21,7,완제,
105521,TSB(Non animal origin), 자가,BT,21,7,완제,
105944,20L Glass bottle(screw),EA,21,7,완제,
105996,멸균백1200*1200mm,EA,21,7,완제,
105998,멸균백400*500mm,EA,21,7,완제,
106159,Durapore, Opticap XL4 (KVGLA04TT3),EA,21,7,완제,
300006,퐁퐁,EA,21,7,완제,
300009,Sartofluor GA 10',EA,21,7,완제,
300010,Sartofluor GA 20",EA,21,7,완제,
300011,Sartofluor Mini,EA,21,7,완제,
302000,수산화나트륨(퀴놀론1KG),kg,21,7,완제,
LMSM00007C,수산화나트륨 자가 (1kg),kg,21,7,완제,19.985
302060,AGP Solution Kit,EA,21,7,완제,
302101,5mL PC Validation Vial,EA,21,7,완제,
302102,Autoclave Indicator. Sigmaware,EA,21,7,완제,
302103,Hi Temperature Indicator(Shamrock)(건열),EA,21,7,완제,
302104,Chemical Indicator 1250 (3M),EA,21,7,완제,
302109,락스 (럭키),EA,21,7,완제,
302122,염화나트륨(수지 재생용) 자가,kg,21,7,완제,
302123,펌프 튜빙(Masterflex L/S 16),EA,21,7,완제,
302124,펌프 튜빙(Masterflex L/S 17),EA,21,7,완제,
302125,펌프 튜빙(Masterflex L/S 18),EA,21,7,완제,
302126,펌프 튜빙(Masterflex L/S 24),EA,21,7,완제,
302127,펌프 튜빙(Masterflex I/P 73),EA,21,7,완제,
302128,펌프 튜빙(Masterflex I/P 82),EA,21,7,완제,
302143,Endotoxin Indicator(Endosafe) 자가,EA,21,7,완제,
302161,Durapore 필터(SCGVU11RE),EA,21,7,완제,
302170,아세톤 자가,mL ,21,7,완제,
302171,Optiseal 필터(LAGR04TP6),EA,21,7,완제,
302210,펌프 튜빙(NALGENE 8060-0200),EA,21,7,완제,1
302212,펌프 튜빙(NALGENE 8060-0100),EA,21,7,완제,
302213,펌프 튜빙(NALGENE 8060-0060),EA,21,7,완제,
302214,펌프 튜빙(NALGENE 8060-0040),EA,21,7,완제,1
302250,필터 (PUY2UY300H),EA,21,7,완제,
302251,필터 (PUY2UY100H),EA,21,7,완제,
302256,필터 (PUY1UY400J),EA,21,7,완제,
302259,필터 (AB1PFA7PVH4),EA,21,7,완제,
302260,필터 (AB3NFZ7PH4),EA,21,7,완제,
302341,펌프 튜빙(Masterflex L/S 25),EA,21,7,완제,
302450,필터(SLK7002PFRP)(스팀필터),EA,21,7,완제,3
302451,필터(MCY4463PFRPVH4)(N2 필터),EA,21,7,완제,1
