년,월,자재,자재내역,단위,팀,완제,원제(1part),원제(2part),합성,QC,생지/공무
21,7,100130,디메티콘 유제 35% 자가,g,완제,,,,,,
21,7,105521,TSB(Non animal origin) 자가,BT,완제,,,,,,
21,7,105944,20L Glass bottle(screw),EA,완제,,,,,,
21,7,105996,멸균백1200*1200mm,EA,완제,,,,,,
21,7,105998,멸균백400*500mm,EA,완제,,200,100,,,
21,7,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,완제,,,,,,
21,7,300006,퐁퐁,EA,완제,,,6,,,
21,7,300009,Sartofluor GA 10',EA,완제,,5,1,,,
21,7,300010,Sartofluor GA 20',EA,완제,,,,,,
21,7,300011,Sartofluor Mini,EA,완제,,,10,,,
21,7,302000,수산화나트륨(퀴놀론1KG),kg,완제,,,,71.942,,
21,7,LMSM00007C,수산화나트륨 자가 (1kg),kg,완제,19.985,,,,,
21,7,302060,AGP Solution Kit,EA,완제,,,,,,
21,7,302101,5mL PC Validation Vial,EA,완제,,,,,920,920
21,7,302102,Autoclave Indicator. Sigmaware,EA,완제,,,,,,
21,7,302103,Hi Temperature Indicator(Shamrock)(건열),EA,완제,,,,,,
21,7,302104,Chemical Indicator 1250 (3M),EA,완제,,,,,,
21,7,302109,락스 (럭키),EA,완제,,,5,,,
21,7,302122,염화나트륨(수지 재생용) 자가,kg,완제,,,,,,
21,7,302123,펌프 튜빙(Masterflex L/S 16),EA,완제,,,,,,
21,7,302124,펌프 튜빙(Masterflex L/S 17),EA,완제,,,,,,
21,7,302125,펌프 튜빙(Masterflex L/S 18),EA,완제,,,,,,
21,7,302126,펌프 튜빙(Masterflex L/S 24),EA,완제,,,,,,
21,7,302127,펌프 튜빙(Masterflex I/P 73),EA,완제,,,,,,
21,7,302128,펌프 튜빙(Masterflex I/P 82),EA,완제,,2,3,,,
21,7,302143,Endotoxin Indicator(Endosafe) 자가,EA,완제,,,,,,
21,7,302161,Durapore 필터(SCGVU11RE),EA,완제,,4,,,,
21,7,302170,아세톤 자가,mL ,완제,,,,,,
21,7,302171,Optiseal 필터(LAGR04TP6),EA,완제,,,,,,
21,7,302210,펌프 튜빙(NALGENE 8060-0200),EA,완제,1,,,,,
21,7,302212,펌프 튜빙(NALGENE 8060-0100),EA,완제,,,,,,
21,7,302213,펌프 튜빙(NALGENE 8060-0060),EA,완제,,,,,,
21,7,302214,펌프 튜빙(NALGENE 8060-0040),EA,완제,1,,,,,
21,7,302250,필터 (PUY2UY300H),EA,완제,,,,,,
21,7,302251,필터 (PUY2UY100H),EA,완제,,,,,,
21,7,302256,필터 (PUY1UY400J),EA,완제,,,,,,
21,7,302259,필터 (AB1PFA7PVH4),EA,완제,,,,,,
21,7,302260,필터 (AB3NFZ7PH4),EA,완제,,,,,,
21,7,302341,펌프 튜빙(Masterflex L/S 25),EA,완제,,,,,,
21,7,302450,필터(SLK7002PFRP)(스팀필터),EA,완제,3,,,,,
21,7,302451,필터(MCY4463PFRPVH4)(N2 필터),EA,완제,1,,,,,
21,7,302452,필터(AB1CPFR7PVH4)(DIP 필터),EA,완제,6,,,,,
21,7,302453,필터(CTGB71TP3)(스팀필터),EA,완제,,,,,,
21,7,302481,구연산무수(99.5%이상),kg,완제,,,,,,
21,7,302520,PFA Tubing(EW-06371-04),EA,완제,5,,,,,
21,7,302521,PFA Tubing(RZ-06375-02),EA,완제,4,,,,,
21,7,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,완제,,,,,,
21,7,302572,Millex-FG Filter(MTGR85000),EA,완제,,,,,,
21,7,302573,C-Flex Tubing(072-313-3),EA,완제,,,,,,
21,7,302620,CTGR75S01 Millipore Filter,EA,완제,2,,,,,
21,7,302621,KVGB04TC3 Milliporre Filter,EA,완제,,,,,,
21,7,302622,CTGB72TP3 Millipore Filter,EA,완제,,,,,,
21,7,302623,AB05PFR7PVH4 Pall Filter,EA,완제,,,,,,
21,7,302690,액체 세제 (액츠 무진복 세탁용),EA,완제,,,1,8,,
21,7,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,완제,2,,,,,
21,7,302780,H2O2 for HPV,EA,완제,10,,,,,
21,7,302880,Sartfluor GA,EA,완제,5,,,,,
21,7,302881,Sartfluor junior,EA,완제,,,,,,
21,7,302882,SP Sephadex C50 자가,g,완제,,,,,,
21,7,303090,테크세제,EA,완제,,,,,,
21,7,302841,72B/A4 Clean paper,EA,완제,,,,,,
21,7,200522,화이버 드럼,EA,완제,,,,24,,
21,7,106602,보위딕 테스트 팩(Terragene),EA,완제,40,1,3,,,
21,7,302255,필터 (PFY2UY300J),EA,완제,,,,,,
21,7,302571,Sartofluor Filter(5185307T8),EA,완제,,,,,,
21,7,302151,Sartoclean CA 20',EA,완제,,,,,,
21,7,302257,필터 (PFY1J012J),EA,완제,,,,,,
21,7,302914,Sterile Filter(KA3EKVP10.2um),EA,완제,,,,,,
21,7,300953,킴텍스(50×70×1),EA,완제,,,,,,
21,7,302321,훈증액 MINNACARE COLD STERILANT,BT,완제,,,,,,
21,7,302254,필터 (MBS1002RJH2),EA,완제,,,,,,
