Batch,YEO Lot,YEP Lot,YPO Lot,종1 OD,종1 PH,종2 OD,종2 PH,종2 배양시간,피딩 2H OD,피딩 6H OD,피딩 12H OD,피딩 18H OD,숙성배양 2H OD,본배양 최종 PH,본배양 최종부피,본배양 최종 OD,본배양 배양시간,소포제 투입량,KOH 투입량,피딩 말기 Airflow 조정,숙성6H OD,숙성6H pH,숙성10H OD,숙성10H pH,수확 발효 부피,발효 수확 흡광도,수확부피 1차,수확부피 2차,수확 부피,수확 OD,수확 수확율,수확 세포농도,파쇄 세포농도,파쇄 전 pH,파쇄 후 pH,추출 항원가,pH up NaOH 투입량,pH down HCl 투입량,분리후 흡광도(TK005),분리후 흡광도(TK004),pH 7.0 NaoH 투입량,pH-cut 항원가,흡착후 실리카 양,탈착 부피,탈착 7.15M NaOH 투입량,탈착후 실리카양,탈착 Protein,탈착 최종 흡광도,탈착 pH,탈착액 항원가,"
AEX 탈착액 농도
",AEX 탈착액 량,AEX 탈착액 전도도(전),AEX 탈착액 전도도(후),AEX  로딩 부피,AEX F/T 항원가,AEX F/T 부피,AEX F/T 수량,AEX 0.05M 량,AEX 0.2M 주분획 무게,AEX 0.2M 주분획 량,AEX Pool 분획  번호,AEX Pool 무게,AEX Pool 량,AEX 레진횟수,UF Filtrate 량,DF Filtreate 량,UF/DF 무게,UF/DF 량,SEC 량,SEC Pool 무게,벌크 무게,벌크 농도,벌크 량,단백질량(Lowry)
UVB19012,AD17A01231,19000808,AC17B09210,3.2 ,2.7 ,8.3 ,5.2 ,16.6 ,4.6 ,8.0 ,26.0 ,58.0 ,122.3 ,6.6 ,1080.0 ,123.0 ,48.2 ,0.0 ,900.0 ,900.0 ,118.4 ,5.9 ,120.7 ,6.2 ,1080.0 ,122.7 ,,,370.0 ,308.0 ,86.0 ,45.7 ,34.5 ,6.5 ,6.6 ,125.0 ,17.1 ,53.5 ,0.7 ,0.6 ,11.0 ,78.0 ,32.6 ,240.0 ,1.4 ,25.8 ,6.9 ,0.015 ,9.4 ,31.0 ,0.63 ,219.6 ,7.422 ,7.990 ,344.0 ,3.0 ,350.0 ,166.1 ,2.6 ,32.0 ,33.2 ,0 ,33.0 ,33.5 ,6 ,0.2 ,0.3 ,2.4 ,32.0 ,28.9 ,11.4 ,55.6 ,506.0 ,28.1 ,25.4 
UVB19013,AD17A01231,19000808,AC17B09210,3.5 ,2.7 ,6.7 ,5.2 ,16.6 ,5.1 ,8.0 ,28.0 ,54.0 ,114.5 ,6.6 ,1090.0 ,120.0 ,48.3 ,0.0 ,900.0 ,800.0 ,116.0 ,5.9 ,116.8 ,6.3 ,1090.0 ,120.4 ,,,365.0 ,320.0 ,89.0 ,47.1 ,35.1 ,6.7 ,6.6 ,129.0 ,17.0 ,51.0 ,0.6 ,0.7 ,11.0 ,81.0 ,34.0 ,250.0 ,1.0 ,24.8 ,9.3 ,0.020 ,9.5 ,32.0 ,0.68 ,233.8 ,7.788 ,8.078 ,342.0 ,5.0 ,350.0 ,182.5 ,3.1 ,32.0 ,32.3 ,0 ,34.0 ,32.7 ,7 ,0.2 ,0.3 ,2.2 ,32.3 ,29.6 ,13.4 ,56.3 ,499.0 ,28.1 ,25.7 
UVB19014,AD17A01231,19000808,AC17B09210,3.5 ,2.7 ,8.0 ,5.2 ,16.5 ,5.0 ,8.0 ,27.0 ,50.0 ,121.5 ,6.6 ,1085.0 ,117.0 ,48.3 ,0.0 ,900.0 ,900.0 ,115.2 ,6.0 ,118.0 ,6.3 ,1085.0 ,116.9 ,,,380.0 ,297.0 ,89.0 ,47.5 ,36.8 ,6.7 ,6.6 ,128.0 ,17.0 ,51.0 ,0.6 ,0.7 ,10.8 ,88.0 ,33.8 ,249.0 ,1.4 ,22.6 ,11.3 ,0.020 ,9.5 ,34.0 ,0.67 ,229.2 ,7.757 ,7.978 ,342.0 ,6.0 ,350.0 ,177.8 ,3.4 ,32.0 ,33.4 ,0 ,32.0 ,33.0 ,8 ,0.1 ,0.3 ,2.4 ,32.6 ,28.5 ,13.2 ,55.4 ,503.0 ,27.9 ,25.3 
UVB19015,AD17A01231,19000808,AC17B09210,3.4 ,2.7 ,7.7 ,5.2 ,16.4 ,5.0 ,8.0 ,26.0 ,50.0 ,118.4 ,6.6 ,1095.0 ,122.0 ,48.4 ,0.0 ,950.0 ,1000.0 ,116.0 ,5.9 ,120.7 ,6.3 ,1095.0 ,121.8 ,,,390.0 ,294.0 ,86.0 ,47.7 ,38.0 ,6.7 ,6.5 ,124.0 ,18.1 ,53.5 ,0.6 ,0.6 ,11.5 ,77.0 ,33.6 ,247.0 ,1.4 ,25.2 ,8.3 ,0.014 ,9.5 ,29.0 ,0.61 ,210.0 ,7.661 ,8.037 ,342.0 ,5.0 ,350.0 ,163.6 ,2.8 ,32.0 ,25.0 ,0 ,32.0 ,25.6 ,9 ,0.1 ,0.2 ,2.4 ,25.2 ,22.5 ,12.8 ,43.0 ,509.0 ,21.9 ,20.2 
UVB19016,AD17A01231,19000808,AC17B09210,3.9 ,2.7 ,8.0 ,5.2 ,16.5 ,4.5 ,8.0 ,27.0 ,52.0 ,107.4 ,6.6 ,1090.0 ,118.0 ,48.1 ,0.0 ,1000.0 ,1000.0 ,112.9 ,5.9 ,115.2 ,6.4 ,1090.0 ,117.5 ,,,395.0 ,282.0 ,87.0 ,46.4 ,37.4 ,6.6 ,6.6 ,150.0 ,17.2 ,51.5 ,0.7 ,0.6 ,10.0 ,93.0 ,32.8 ,241.0 ,1.5 ,24.8 ,8.0 ,0.012 ,9.6 ,37.0 ,0.68 ,234.6 ,7.682 ,7.990 ,342.0 ,2.0 ,350.0 ,170.0 ,2.7 ,34.0 ,37.6 ,4 ,34.0 ,40.9 ,1 ,0.3 ,0.3 ,2.3 ,40.6 ,35.1 ,14.1 ,67.3 ,505.0 ,34.0 ,31.6 
UVB19017,AD17A01231,19000808,AC17B09210,3.7 ,2.7 ,8.1 ,5.2 ,16.4 ,4.9 ,8.0 ,26.0 ,57.0 ,116.8 ,6.6 ,1120.0 ,123.0 ,48.1 ,0.0 ,400.0 ,800.0 ,120.3 ,5.9 ,120.7 ,6.3 ,1120.0 ,122.9 ,,,370.0 ,320.0 ,86.0 ,50.3 ,38.0 ,6.7 ,6.5 ,134.0 ,19.0 ,55.5 ,0.7 ,0.6 ,10.5 ,80.0 ,33.4 ,246.0 ,1.4 ,25.4 ,8.1 ,0.017 ,9.5 ,34.0 ,0.63 ,216.7 ,7.683 ,8.017 ,343.0 ,1.0 ,350.0 ,155.8 ,2.9 ,32.0 ,34.8 ,0 ,32.0 ,35.2 ,2 ,0.1 ,0.1 ,2.4 ,34.7 ,31.5 ,13.4 ,60.2 ,495.0 ,29.8 ,27.4 
UVB19018,AD17A01231,19000808,AC17B09210,3.7 ,2.7 ,7.1 ,5.2 ,16.1 ,5.1 ,8.0 ,22.0 ,48.0 ,118.4 ,6.6 ,1075.0 ,119.0 ,48.6 ,0.0 ,800.0 ,600.0 ,114.5 ,5.8 ,116.0 ,6.2 ,1075.0 ,119.5 ,,,370.0 ,295.0 ,85.0 ,49.1 ,37.1 ,6.6 ,6.5 ,124.0 ,17.0 ,51.0 ,0.6 ,0.7 ,11.0 ,79.0 ,34.0 ,249.0 ,1.4 ,22.4 ,11.5 ,0.020 ,9.5 ,30.0 ,0.62 ,214.1 ,7.714 ,8.017 ,344.0 ,1.0 ,350.0 ,162.6 ,1.9 ,32.0 ,34.8 ,0 ,32.0 ,35.1 ,3 ,0.2 ,0.3 ,2.4 ,34.5 ,30.0 ,13.2 ,57.5 ,504.0 ,29.0 ,27.1 
UVB19019,AD17A01231,18012792,AC17B09210,3.6 ,2.7 ,7.3 ,5.2 ,16.2 ,5.0 ,8.0 ,26.0 ,49.0 ,116.8 ,6.7 ,1080.0 ,123.0 ,48.7 ,0.0 ,0.0 ,500.0 ,120.7 ,6.1 ,122.3 ,6.4 ,1080.0 ,123.6 ,,,415.0 ,283.0 ,88.0 ,43.6 ,36.9 ,6.7 ,6.6 ,113.0 ,17.2 ,55.0 ,0.6 ,0.6 ,10.7 ,73.0 ,32.0 ,235.0 ,1.4 ,24.6 ,7.4 ,0.014 ,9.5 ,30.0 ,0.58 ,200.7 ,7.391 ,7.969 ,344.0 ,1.0 ,350.0 ,142.7 ,2.9 ,32.0 ,34.8 ,0 ,32.0 ,33.3 ,4 ,0.3 ,0.3 ,2.4 ,32.8 ,28.3 ,12.3 ,56.1 ,489.0 ,27.5 ,25.4 
UVB19020,AD17A01231,18012792,AC17B09210,3.2 ,2.7 ,7.4 ,5.2 ,16.4 ,5.0 ,8.0 ,26.0 ,51.0 ,123.1 ,6.7 ,1090.0 ,124.0 ,48.2 ,40.0 ,0.0 ,1200.0 ,122.3 ,6.1 ,123.9 ,6.5 ,1090.0 ,124.4 ,,,390.0 ,292.0 ,84.0 ,47.9 ,38.1 ,6.6 ,6.6 ,132.0 ,18.5 ,53.0 ,0.7 ,0.7 ,10.5 ,83.0 ,34.0 ,250.0 ,1.4 ,24.8 ,9.2 ,0.010 ,9.5 ,34.0 ,0.66 ,225.4 ,8.057 ,8.057 ,340.0 ,3.0 ,350.0 ,161.4 ,3.5 ,32.0 ,36.0 ,0 ,32.0 ,36.4 ,5 ,0.2 ,0.6 ,2.4 ,35.8 ,33.6 ,14.3 ,65.0 ,499.0 ,32.4 ,28.8 
UVB19021,AD17A01231,18012792,AC17B09210,3.3 ,2.7 ,8.2 ,5.2 ,16.6 ,4.8 ,9.0 ,25.0 ,51.0 ,121.5 ,6.6 ,1080.0 ,118.0 ,48.0 ,0.0 ,0.0 ,500.0 ,110.5 ,6.0 ,110.2 ,6.3 ,1080.0 ,118.6 ,,,380.0 ,290.0 ,86.0 ,47.3 ,36.7 ,6.7 ,6.6 ,100.0 ,18.0 ,56.0 ,0.7 ,0.6 ,11.0 ,71.0 ,32.6 ,239.0 ,1.4 ,24.0 ,8.6 ,0.019 ,9.5 ,29.0 ,0.65 ,226.1 ,7.426 ,7.912 ,344.0 ,2.0 ,350.0 ,162.0 ,2.9 ,32.0 ,30.0 ,0 ,32.0 ,30.1 ,6 ,0.1 ,0.2 ,2.4 ,29.7 ,26.4 ,12.6 ,50.4 ,510.0 ,25.7 ,23.5 
