batch,pH,NaOH(g)
HMG19001,6.42,10.52
HMG19002,6.43,10.47
HMG19003,6.42,10.91
HMG19004,6.43,10.25
HMG19005,6.39,9.9
HMG19006,6.45,10.82
HMG19007,6.4,11.14
HMG19008,6.36,10.47
HMG19009,6.49,10.13
HMG19010,6.44,9.73
HMG19011,6.4,9.49
HMG19012,6.36,9.78
HMG19013,6.41,9.9
HMG20001,6.43,10.61
HMG20002,6.41,11.11
HMG20003,6.4,10.79
HMG20004,6.42,11.51
HMG20005,6.36,10.66
HMG20006,6.44,11.93
HMG20007,6.39,11.93
HMG20008,6.39,12.52
HMG20009,6.42,10.15
HMG20010,6.42,10.31
HMG20011,6.4,9.37
HMG20012,6.39,9.49
HMG20013,6.37,6.37
HMG20014,6.41,9.35
HMG20015,6.35,9.4
HMG21002,6.46,9
HMG21003,6.32,9
HMG21004,6.39,9
