거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
"9,500",1995,2019,태진로,00101,00000,45113,01,0,3266076,진북동,0416,0000,45113,10200,1,우성,1,3,45113-117,59.78,416,45113,1,,
"12,500",1995,2019,태진로,00101,00000,45113,01,0,3266076,진북동,0416,0000,45113,10200,1,우성,1,8,45113-117,59.78,416,45113,13,,
"19,000",1995,2019,진북로,00015,00000,45113,01,0,3267063,진북동,1034,0001,45113,10200,1,동국해성,1,14,45113-115,134.89,1034-1,45113,1,,
"13,500",1991,2019,숲정이5길,00077,00000,45113,01,0,4601267,진북동,1166,0001,45113,10200,1,거성고속맨션2차,1,20,45113-114,122.04,1166-1,45113,2,,
"16,000",1995,2019,진북로,00015,00000,45113,01,0,3267063,진북동,1034,0001,45113,10200,1,동국해성,1,21,45113-115,84.97,1034-1,45113,12,,
"19,400",1995,2019,태진로,00101,00000,45113,01,0,3266076,진북동,0416,0000,45113,10200,1,우성,1,26,45113-117,101.86,416,45113,1,,
"12,000",1995,2019,태진로,00101,00000,45113,01,0,3266076,진북동,0416,0000,45113,10200,1,우성,1,30,45113-117,59.78,416,45113,14,,
"17,000",1995,2019,태진로,00101,00000,45113,01,0,3266076,진북동,0416,0000,45113,10200,1,우성,1,31,45113-117,134.34,416,45113,19,,
"25,000",2006,2019,안덕원로,00251,00000,45113,02,0,3267044,인후동1가,1029,0000,45113,10300,1,인후동한신휴플러스,1,2,45113-598,84.973,1029,45113,17,,
"19,500",2004,2019,심방죽로,00016,00000,45113,01,0,3267042,인후동1가,0574,0000,45113,10300,1,인후동 선변(101동),1,3,45113-141,84.4808,574,45113,12,,
"17,500",2003,2019,무삼지로,00010,00000,45113,01,0,3267022,인후동1가,0918,0001,45113,10300,1,아중마을부영(6차),1,4,45113-145,84.8246,918-1,45113,14,,
"20,500",2008,2019,안덕원로,00325,00000,45113,02,0,3267044,인후동1가,0541,0000,45113,10300,1,인후송정써미트,1,4,45113-621,84.5706,541,45113,1,,
"14,500",1999,2019,한배미로,00005,00000,45113,01,0,3267075,인후동1가,0951,0001,45113,10300,1,아중마을아남,1,5,45113-11,84.92,951-1,45113,1,,
"25,500",2006,2019,안덕원로,00251,00000,45113,02,0,3267044,인후동1가,1029,0000,45113,10300,1,인후동한신휴플러스,1,5,45113-598,84.761,1029,45113,7,,
"19,300",1998,2019,석소로,00055,00000,45113,01,0,3267031,인후동1가,0858,0002,45113,10300,1,아중현대,1,5,45113-14,99.935,858-2,45113,4,,
"19,300",1998,2019,석소로,00055,00000,45113,01,0,3267031,인후동1가,0858,0002,45113,10300,1,아중현대,1,5,45113-14,84.96,858-2,45113,7,,
"13,700",1988,2019,팽나무1길,00019,00000,45113,01,0,4601467,인후동1가,0594,0001,45113,10300,1,인후궁전,1,7,45113-2,115.12,594-1,45113,4,,
"9,000",1999,2019,아중로,00180,00000,45113,01,0,3266047,인후동1가,0951,0003,45113,10300,1,아중마을부영(3차),1,7,45113-146,49.9514,951-3,45113,8,,
