거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
"82,500",1994,2019,수내로,00181,00000,41135,01,0,3180039,분당동,0038,0000,41135,10100,1,샛별마을(우방),1,7,41135-21,84.99,38,41135,6,,
"75,650",1993,2019,장안로,00015,00000,41135,01,0,3180057,분당동,0066,0000,41135,10100,1,장안타운(건영),1,9,41135-32,131.55,66,41135,8,,
"58,000",1993,2019,장안로51번길,00031,00000,41135,01,0,4340382,분당동,0066,0000,41135,10100,1,장안타운(건영),1,25,41135-32,67.73,66,41135,4,,
"75,000",1993,2019,장안로41번길,00013,00000,41135,01,0,4340380,분당동,0066,0000,41135,10100,1,장안타운(건영),1,30,41135-32,162.85,66,41135,13,,
"86,500",1992,2019,백현로,00265,00000,41135,01,0,3180022,수내동,0075,0000,41135,10200,1,푸른마을(쌍용),1,5,41135-80,84.72,75,41135,5,,
"100,500",1992,2019,수내로,00174,00000,41135,02,0,3180039,수내동,0071,0000,41135,10200,1,푸른마을(벽산),1,11,41135-78,131.4,71,41135,18,,
"92,500",1993,2019,내정로166번길,00042,00000,41135,01,0,4340035,수내동,0054,0000,41135,10200,1,파크타운(삼익),1,19,41135-76,84.6,54,41135,7,,
"105,000",1992,2019,백현로,00227,00000,41135,01,0,3180022,수내동,0075,0000,41135,10200,1,푸른마을(쌍용),1,21,41135-80,163.83,75,41135,10,,
"85,500",1992,2019,수내로192번길,00025,00000,41135,01,0,4340284,수내동,0071,0000,41135,10200,1,푸른마을(벽산),1,22,41135-78,84.72,71,41135,10,,
"129,500",1993,2019,내정로166번길,00042,00000,41135,01,0,4340035,수내동,0054,0000,41135,10200,1,파크타운(삼익),1,28,41135-76,186.099,54,41135,4,,
"45,000",1992,2019,백현로,00265,00000,41135,01,0,3180022,수내동,0075,0000,41135,10200,1,푸른마을(쌍용),1,28,41135-80,59.78,75,41135,4,,
"85,000",1993,2019,수내로,00148,00000,41135,02,0,3180039,수내동,0052,0000,41135,10200,1,파크타운(서안),1,28,41135-77,84.6,52,41135,13,,
"37,000",1994,2019,백현로,00206,00000,41135,02,0,3180022,정자동,0102,0000,41135,10300,1,한솔마을(4단지)(주공),1,2,41135-67,35.28,102,41135,2,,
"130,000",2003,2019,성남대로,00449,00000,41135,02,0,2000005,정자동,0028,0001,41135,10300,1,로얄팰리스,1,2,41135-70,211.19,28-1,41135,6,,
"69,500",1994,2019,느티로,00070,00000,41135,01,0,3180004,정자동,0090,0000,41135,10300,1,느티마을(4단지)(공무원),1,5,41135-54,58.19,90,41135,14,,
"136,500",2004,2019,정자일로,00248,00000,41135,01,0,3180021,정자동,0006,0000,41135,10300,1,분당파크뷰,1,5,41135-250,124.515,6,41135,14,,
"70,500",1994,2019,느티로,00070,00000,41135,01,0,3180004,정자동,0090,0000,41135,10300,1,느티마을(4단지)(공무원),1,5,41135-54,58.71,90,41135,4,,
"55,000",1995,2019,정자로,00112,00000,41135,01,0,3180058,정자동,0192,0000,41135,10300,1,정든마을(5단지)(신화),1,10,41135-63,52.44,192,41135,7,,
"38,000",1994,2019,백현로,00206,00000,41135,02,0,3180022,정자동,0102,0000,41135,10300,1,한솔마을(4단지)(주공),1,10,41135-67,36,102,41135,8,,
"130,000",2003,2019,성남대로,00449,00000,41135,02,0,2000005,정자동,0028,0001,41135,10300,1,로얄팰리스,1,11,41135-70,208.87,28-1,41135,23,,
"111,500",2004,2019,정자일로,00248,00000,41135,01,0,3180021,정자동,0006,0000,41135,10300,1,분당파크뷰,1,11,41135-250,84.99,6,41135,19,,
"38,000",1994,2019,백현로,00206,00000,41135,02,0,3180022,정자동,0102,0000,41135,10300,1,한솔마을(4단지)(주공),1,16,41135-67,35.28,102,41135,8,,
"128,000",2003,2019,성남대로,00449,00000,41135,02,0,2000005,정자동,0028,0001,41135,10300,1,로얄팰리스,1,16,41135-70,208.87,28-1,41135,3,,
"87,500",1995,2019,정자로,00112,00000,41135,01,0,3180058,정자동,0192,0000,41135,10300,1,정든마을(5단지)(신화),1,21,41135-63,163.55,192,41135,3,,
"130,000",2004,2019,정자일로213번길,00010,00000,41135,01,0,4340130,정자동,0012,0003,41135,10300,1,성원상떼뷰101동,1,22,41135-267,177.27,12-3,41135,14,,
"87,000",1994,2019,느티로,00070,00000,41135,01,0,3180004,정자동,0088,0000,41135,10300,1,느티마을(3단지)(공무원),1,23,41135-55,67.43,88,41135,9,,
"50,200",1994,2019,정자로,00115,00000,41135,01,0,3180058,정자동,0112,0000,41135,10300,1,한솔마을(5단지)(주공),1,23,41135-223,41.85,112,41135,12,,
"105,000",2007,2019,정자일로,00121,00000,41135,01,0,3180021,정자동,0174,0001,41135,10300,1,분당더샵스타파크,1,24,41135-422,116.7905,174-1,41135,21,,
"46,500",1995,2019,불정로,00179,00000,41135,03,0,3180030,정자동,0198,0000,41135,10300,1,정든마을(2단지)(동아),1,25,41135-62,69.055,198,41135,1,,
"41,000",1994,2019,백현로,00206,00000,41135,02,0,3180022,정자동,0102,0000,41135,10300,1,한솔마을(4단지)(주공),1,25,41135-67,41.85,102,41135,14,,
"62,000",1993,2019,백현로,00234,00000,41135,02,0,3180022,정자동,0107,0000,41135,10300,1,한솔마을(3단지)(한일),1,28,41135-69,59.96,107,41135,11,,
"110,000",2004,2019,정자일로,00248,00000,41135,01,0,3180021,정자동,0006,0000,41135,10300,1,분당파크뷰,1,30,41135-250,84.99,6,41135,24,,
"48,000",1991,2019,중앙공원로,00017,00000,41135,01,0,3180049,서현동,0091,0000,41135,10500,1,시범한양,1,3,41135-103,35.1,91,41135,10,,
"70,000",1994,2019,불정로,00362,00000,41135,04,0,3180030,서현동,0308,0000,41135,10500,1,효자촌(화성),1,14,41135-112,84.696,308,41135,5,,
"102,500",1991,2019,중앙공원로,00020,00000,41135,01,0,3180049,서현동,0092,0000,41135,10500,1,시범현대,1,15,41135-99,129.73,92,41135,1,,
"55,000",1994,2019,불정로,00362,00000,41135,04,0,3180030,서현동,0308,0000,41135,10500,1,효자촌(화성),1,17,41135-112,70.686,308,41135,22,,
"120,000",1991,2019,중앙공원로,00017,00000,41135,01,0,3180049,서현동,0091,0000,41135,10500,1,시범한양,1,21,41135-103,220.83,91,41135,4,,
"63,000",1991,2019,중앙공원로,00020,00000,41135,01,0,3180049,서현동,0092,0000,41135,10500,1,시범현대,1,23,41135-99,59.55,92,41135,1,,
"114,000",1991,2019,중앙공원로,00017,00000,41135,01,0,3180049,서현동,0091,0000,41135,10500,1,시범한양,1,23,41135-103,134.87,91,41135,4,,
